date,entry_time,exit_time,duration_min,sell_entry,sell_exit,buy_entry,buy_exit,net_credit,spread_width_pts,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,trade_number,lot_size,number_of_lots,qty,capital_used,cumulative_pnl
2021-04-01,09:17,09:46,29.0,19.1,26.85,4.9,3.6500000000000004,14.200000000000001,200,-8550.0,141.26,-8691.26,daily_loss_limit,0,0.0,14799.0,1,25,38,950,250000,-8691.26
2021-04-05,09:17,09:20,3.0,97.0,105.9,49.95,50.8,47.05,200,-7647.5,367.35,-8014.85,daily_loss_limit,3,0.0,14763.8999,2,25,38,950,250000,-16706.11
2021-04-06,09:17,09:31,14.0,92.2,74.9,43.35,31.5,48.85,200,5177.5,315.24,4862.26,daily_target,2,0.0,14646.7,3,25,38,950,250000,-11843.85
2021-04-07,09:17,09:18,1.0,64.0,74.9,26.1,27.6,37.9,200,-8930.0,266.32,-9196.32,daily_loss_limit,1,0.0,14709.0,4,25,38,950,250000,-21040.17
2021-04-08,09:17,09:19,2.0,15.0,21.65,4.45,3.1500000000000004,10.55,200,-7552.5,132.27,-7684.77,daily_loss_limit,0,0.0,14917.0,5,25,38,950,250000,-28724.94
2021-04-09,09:17,09:20,3.0,123.65,130.15,71.95,70.55,51.7,200,-7505.0,451.36,-7956.36,daily_loss_limit,3,0.0,14849.7,6,25,38,950,250000,-36681.299999999996
2021-04-12,09:17,09:19,2.0,89.6,113.5,49.2,61.4,40.39999999999999,200,-11115.0,375.42,-11490.42,daily_loss_limit,2,0.0,14590.1,7,25,38,950,250000,-48171.719999999994
2021-04-13,09:17,09:18,1.0,88.35,75.3,40.7,31.450000000000003,47.64999999999999,200,3610.0,309.2,3300.8,daily_target,1,0.0,14376.2,8,25,38,950,250000,-44870.91999999999
2021-04-15,09:17,09:21,4.0,31.25,22.5,9.85,4.55,21.4,200,3277.5,157.14,3120.36,daily_target,0,0.0,14547.0,9,25,38,950,250000,-41750.55999999999
2021-04-16,09:17,09:23,6.0,111.5,122.2,62.4,64.9,49.1,200,-7790.0,419.28,-8209.28,daily_loss_limit,3,0.0,14623.3999,10,25,38,950,250000,-49959.83999999999
2021-04-19,09:17,09:21,4.0,105.4,123.45,62.7,71.85,42.7,200,-8455.0,421.26,-8876.26,daily_loss_limit,2,0.0,14313.1,11,25,38,950,250000,-58836.09999999999
2021-04-20,09:17,09:18,1.0,59.3,67.9,27.3,28.1,31.999999999999996,200,-7410.0,257.7,-7667.7,daily_loss_limit,1,0.0,14506.0,12,25,38,950,250000,-66503.79999999999
2021-04-22,09:17,09:20,3.0,30.1,36.0,7.25,4.35,22.85,200,-8360.0,162.34,-8522.34,daily_loss_limit,0,0.0,14170.7999,13,25,38,950,250000,-75026.13999999998
2021-04-23,09:17,09:31,14.0,148.0,148.95,93.35,87.0,54.650000000000006,200,-6935.0,524.95,-7459.95,daily_loss_limit,4,0.0,14342.0,14,25,38,950,250000,-82486.08999999998
2021-04-26,09:17,10:14,57.0,110.45,100.55,58.0,52.15,52.45,200,3847.5,386.64,3460.86,daily_target,3,0.0,14433.3999,15,25,38,950,250000,-79025.22999999998
2021-04-27,09:17,09:21,4.0,86.0,72.95,39.15,30.0,46.85,200,3705.0,302.24,3402.76,daily_target,2,0.0,14546.1,16,25,38,950,250000,-75622.46999999999
2021-04-28,09:17,09:47,30.0,54.95,44.5,19.35,12.8,35.6,200,3705.0,214.79,3490.21,daily_target,1,0.0,14734.0,17,25,38,950,250000,-72132.25999999998
2021-04-29,09:17,09:18,1.0,29.0,17.65,5.85,3.45,23.15,200,8502.5,147.64,8354.86,daily_target,0,0.0,15019.7,18,25,38,950,250000,-63777.39999999998
2021-04-30,09:17,09:18,1.0,135.8,157.0,82.2,93.1,53.60000000000001,200,-9785.0,515.77,-10300.77,daily_loss_limit,4,0.0,14780.5,19,25,38,950,250000,-74078.16999999998
2021-05-03,09:17,10:20,63.0,117.9,94.3,61.9,42.4,56.00000000000001,200,3895.0,382.42,3512.58,daily_target,3,0.0,14440.6,20,25,38,950,250000,-70565.58999999998
2021-05-04,09:17,09:24,7.0,69.5,78.6,27.9,28.0,41.6,200,-8550.0,276.76,-8826.76,daily_loss_limit,2,0.0,14716.6,21,25,38,950,250000,-79392.34999999998
2021-05-05,09:17,09:19,2.0,51.5,71.45,17.2,22.35,34.3,200,-14060.0,237.5,-14297.5,daily_loss_limit,1,0.0,14577.7,22,25,38,950,250000,-93689.84999999998
2021-05-06,09:17,09:24,7.0,16.5,22.75,3.7,2.45,12.8,200,-7125.0,133.43,-7258.43,daily_loss_limit,0,0.0,14674.1,23,25,38,950,250000,-100948.27999999997
2021-05-07,09:17,10:17,60.0,103.6,87.5,53.65,41.8,49.949999999999996,200,4037.5,355.32,3682.18,daily_target,3,0.0,14833.6,24,25,38,950,250000,-97266.09999999998
2021-05-10,09:17,09:18,1.0,74.15,60.6,29.5,21.55,44.650000000000006,200,5320.0,264.38,5055.62,daily_target,2,0.0,14922.3999,25,25,38,950,250000,-92210.47999999998
2021-05-11,09:17,09:29,12.0,45.85,49.05,15.2,10.9,30.650000000000002,200,-7125.0,201.95,-7326.95,daily_loss_limit,1,0.0,14801.7,26,25,38,950,250000,-99537.42999999998
2021-05-12,09:17,09:21,4.0,14.65,21.75,2.8,0.75,11.850000000000001,200,-8692.5,128.03,-8820.53,daily_loss_limit,0,0.0,14798.3999,27,25,38,950,250000,-108357.95999999998
2021-05-14,09:17,09:21,4.0,86.75,100.5,40.9,43.9,45.85,200,-10212.5,337.95,-10550.45,daily_loss_limit,4,0.0,14729.3999,28,25,38,950,250000,-118908.40999999997
2021-05-17,09:17,09:44,27.0,71.95,61.65,27.2,20.25,44.75,200,3182.5,259.45,2923.05,daily_target,3,0.0,14743.3999,29,25,38,950,250000,-115985.35999999997
2021-05-18,09:17,10:00,43.0,46.55,39.5,15.2,12.35,31.349999999999998,200,3990.0,198.55,3791.45,daily_target,2,0.0,15095.7,30,25,38,950,250000,-112193.90999999997
2021-05-19,09:17,09:18,1.0,32.1,44.65,11.3,11.75,20.8,200,-11495.0,181.44,-11676.44,daily_loss_limit,1,0.0,15063.3999,31,25,38,950,250000,-123870.34999999998
2021-05-20,09:17,13:30,253.0,11.65,3.6,2.9,2.9,8.75,200,7647.5,115.76,7531.74,daily_target,0,0.0,15060.3999,32,25,38,950,250000,-116338.60999999997
2021-05-21,09:17,09:23,6.0,79.1,86.9,35.75,36.25,43.349999999999994,200,-6935.0,308.05,-7243.05,daily_loss_limit,4,0.0,15000.8999,33,25,38,950,250000,-123581.65999999997
2021-05-24,09:17,09:18,1.0,64.6,79.4,24.1,27.8,40.49999999999999,200,-10545.0,268.82,-10813.82,daily_loss_limit,3,0.0,15213.1,34,25,38,950,250000,-134395.47999999998
