be_buffer_direction,spot_multiplier,recovery_trail_pct,trade_dte,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
down,0.0,0,"[0, 3, 4]",30961.88,127,58.3,1521.64,-1540.36,1.38,-9778.68,1.42,"{0: 8567.129999999997, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 61, 'both_sl_hit': 56, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
up,0.0,0,"[0, 3, 4]",30961.88,127,58.3,1521.64,-1540.36,1.38,-9778.68,1.42,"{0: 8567.129999999997, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 61, 'both_sl_hit': 56, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
up,1.5,0,"[0, 3, 4]",27127.96,127,57.5,1474.49,-1490.93,1.34,-13638.64,1.26,"{0: 8052.36, 3: 6528.949999999999, 4: 12546.65}","{'hard_exit': 56, 'both_sl_hit': 45, 'spot_move': 16, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
down,1.5,0,"[0, 3, 4]",27127.96,127,57.5,1474.49,-1490.93,1.34,-13638.64,1.26,"{0: 8052.36, 3: 6528.949999999999, 4: 12546.65}","{'hard_exit': 56, 'both_sl_hit': 45, 'spot_move': 16, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
down,1.0,0,"[0, 3, 4]",23842.3,127,52.0,1490.27,-1221.57,1.32,-10901.04,1.17,"{0: 1035.610000000001, 3: 9751.45, 4: 13055.24}","{'spot_move': 48, 'hard_exit': 43, 'both_sl_hit': 28, 'profit_target': 5, 'loss_limit': 2, 'combined_decay': 1}"
up,1.0,0,"[0, 3, 4]",23842.3,127,52.0,1490.27,-1221.57,1.32,-10901.04,1.17,"{0: 1035.610000000001, 3: 9751.45, 4: 13055.24}","{'spot_move': 48, 'hard_exit': 43, 'both_sl_hit': 28, 'profit_target': 5, 'loss_limit': 2, 'combined_decay': 1}"
up,1.0,0,"[3, 4]",22806.69,80,56.2,1453.76,-1217.5,1.54,-8135.58,1.42,"{3: 9751.45, 4: 13055.24}","{'hard_exit': 32, 'spot_move': 30, 'both_sl_hit': 13, 'profit_target': 3, 'combined_decay': 1, 'loss_limit': 1}"
down,1.0,0,"[3, 4]",22806.69,80,56.2,1453.76,-1217.5,1.54,-8135.58,1.42,"{3: 9751.45, 4: 13055.24}","{'hard_exit': 32, 'spot_move': 30, 'both_sl_hit': 13, 'profit_target': 3, 'combined_decay': 1, 'loss_limit': 1}"
up,2.0,0,"[0, 3, 4]",22475.48,127,55.1,1532.98,-1488.3,1.26,-13281.53,1.03,"{0: 6301.879999999997, 3: 5750.509999999998, 4: 10423.089999999998}","{'hard_exit': 58, 'both_sl_hit': 52, 'spot_move': 7, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
down,2.0,0,"[0, 3, 4]",22475.48,127,55.1,1532.98,-1488.3,1.26,-13281.53,1.03,"{0: 6301.879999999997, 3: 5750.509999999998, 4: 10423.089999999998}","{'hard_exit': 58, 'both_sl_hit': 52, 'spot_move': 7, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
up,0.0,0,"[3, 4]",22394.75,80,58.8,1491.34,-1445.41,1.47,-9468.13,1.31,"{3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 45, 'both_sl_hit': 29, 'profit_target': 3, 'loss_limit': 2, 'combined_decay': 1}"
down,0.0,0,"[3, 4]",22394.75,80,58.8,1491.34,-1445.41,1.47,-9468.13,1.31,"{3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 45, 'both_sl_hit': 29, 'profit_target': 3, 'loss_limit': 2, 'combined_decay': 1}"
up,0.0,0,"[0, 4]",21393.27,81,56.8,1547.95,-1423.22,1.43,-7572.18,1.26,"{0: 8567.129999999997, 4: 12826.14}","{'hard_exit': 41, 'both_sl_hit': 34, 'loss_limit': 3, 'profit_target': 3}"
down,0.0,0,"[0, 4]",21393.27,81,56.8,1547.95,-1423.22,1.43,-7572.18,1.26,"{0: 8567.129999999997, 4: 12826.14}","{'hard_exit': 41, 'both_sl_hit': 34, 'loss_limit': 3, 'profit_target': 3}"
down,1.5,0,"[0, 4]",20599.01,81,56.8,1487.43,-1366.36,1.43,-9702.22,1.24,"{0: 8052.36, 4: 12546.65}","{'hard_exit': 38, 'both_sl_hit': 28, 'spot_move': 9, 'loss_limit': 3, 'profit_target': 3}"
up,1.5,0,"[0, 4]",20599.01,81,56.8,1487.43,-1366.36,1.43,-9702.22,1.24,"{0: 8052.36, 4: 12546.65}","{'hard_exit': 38, 'both_sl_hit': 28, 'spot_move': 9, 'loss_limit': 3, 'profit_target': 3}"
down,1.0,50,"[3, 4]",19504.44,80,67.5,1053.45,-1437.76,1.52,-9973.59,1.25,"{3: 7427.450000000001, 4: 12076.99}","{'recovery_lock': 31, 'spot_move': 21, 'hard_exit': 14, 'both_sl_hit': 9, 'profit_target': 3, 'combined_decay': 1, 'loss_limit': 1}"
up,1.0,50,"[3, 4]",19504.44,80,67.5,1053.45,-1437.76,1.52,-9973.59,1.25,"{3: 7427.450000000001, 4: 12076.99}","{'recovery_lock': 31, 'spot_move': 21, 'hard_exit': 14, 'both_sl_hit': 9, 'profit_target': 3, 'combined_decay': 1, 'loss_limit': 1}"
down,1.5,0,"[3, 4]",19075.6,80,57.5,1454.76,-1407.15,1.4,-13067.58,1.13,"{3: 6528.949999999999, 4: 12546.65}","{'hard_exit': 42, 'both_sl_hit': 22, 'spot_move': 10, 'profit_target': 3, 'loss_limit': 2, 'combined_decay': 1}"
