date,expiry,dte,spot_at_entry,ce_entry,pe_entry,combined_premium,ce_exit,pe_exit,ce_sl_hit,pe_sl_hit,ce_pnl,pe_pnl,total_pnl,charges,net_pnl,exit_reason,ce_trailing_activated,pe_trailing_activated,ce_exit_sl_type,pe_exit_sl_type,entry_time,ce_exit_time,pe_exit_time,trade_number,_last_exit_ts,_orb_price,premium_received,margin_required,capital_used
2021-03-22,2021-03-23,1,14683.5,160.75,162.3,323.05,133.2,131.85,False,False,1790.75,1979.25,3770.0,130.41,3639.59,hard_exit,False,False,fixed,fixed,09:17,2021-03-22 15:15:00+05:30,2021-03-22 15:15:00+05:30,1,2021-03-22 15:15:00+05:30,,20998.25,171796.94999999998,171796.94999999998
2021-03-23,2021-03-23,0,14797.8,119.8,133.3,253.1,121.0,83.65,False,False,-78.0,3227.25,3149.25,122.49,3026.76,hard_exit,False,False,fixed,fixed,09:17,2021-03-23 15:15:00+05:30,2021-03-23 15:15:00+05:30,1,2021-03-23 15:15:00+05:30,,16451.5,173134.25999999998,173134.25999999998
2021-03-24,2021-03-30,4,14728.3,94.2,103.35,197.55,122.46,73.25,True,False,-1836.9,1956.5,119.6,141.36,-21.76,hard_exit,False,False,fixed,fixed,09:17,2021-03-24 09:19:00+05:30,2021-03-24 15:15:00+05:30,1,2021-03-24 15:15:00+05:30,,12840.75,172321.11,172321.11
2021-03-25,2021-03-30,3,14486.8,59.0,73.6,132.6,76.7,22.0,True,False,-1150.5,3354.0,2203.5,132.38,2071.12,winner_booking_pe_30pct,False,False,fixed,fixed,09:17,2021-03-25 09:20:00+05:30,2021-03-25 14:30:00+05:30,1,2021-03-25 14:30:00+05:30,,8619.0,169495.56,169495.56
2021-03-25,2021-03-30,3,14302.5,22.25,3.35,25.6,22.25,3.35,False,False,0.0,0.0,0.0,97.44,-97.44,hard_exit,False,False,fixed,fixed,09:17,2021-03-25 15:15:00+05:30,2021-03-25 15:15:00+05:30,2,2021-03-25 15:15:00+05:30,,1664.0,167339.25,167339.25
2021-03-26,2021-03-30,2,14464.7,201.1,168.1,369.2,150.25,139.35,False,False,3305.25,1868.75,5174.0,135.02,5038.98,hard_exit,False,False,fixed,fixed,09:17,2021-03-26 15:15:00+05:30,2021-03-26 15:15:00+05:30,1,2021-03-26 15:15:00+05:30,,23998.0,169236.99,169236.99
2021-03-30,2021-03-30,0,14637.9,116.6,115.5,232.1,103.55,109.9,False,False,848.25,364.0,1212.25,121.19,1091.06,hard_exit,False,False,fixed,fixed,09:17,2021-03-30 15:15:00+05:30,2021-03-30 15:15:00+05:30,1,2021-03-30 15:15:00+05:30,,15086.5,171263.43,171263.43
2021-03-31,2021-04-06,4,14744.3,116.0,87.8,203.8,75.9,77.4,False,False,2606.5,676.0,3282.5,116.56,3165.94,hard_exit,False,False,fixed,fixed,09:17,2021-03-31 15:15:00+05:30,2021-03-31 15:15:00+05:30,1,2021-03-31 15:15:00+05:30,,13247.0,172508.31,172508.31
2021-04-01,2021-04-06,3,14805.0,58.4,50.4,108.8,15.65,65.52,False,True,2778.75,-982.8,1795.95,129.8,1666.15,winner_booking_ce_27pct,False,False,fixed,fixed,09:17,2021-04-01 14:26:00+05:30,2021-04-01 09:46:00+05:30,1,2021-04-01 14:26:00+05:30,,7072.0,173218.5,173218.5
2021-04-01,2021-04-06,3,14877.0,1.9,28.0,29.9,2.47,0.85,True,False,-37.05,1764.75,1727.7,120.48,1607.22,winner_booking_pe_3pct,False,False,fixed,fixed,09:17,2021-04-01 15:13:00+05:30,2021-04-01 15:13:00+05:30,2,2021-04-01 15:13:00+05:30,,1943.5,174060.9,174060.9
2021-04-05,2021-04-06,1,14758.5,162.85,138.35,301.2,121.45,179.86,False,True,2691.0,-2697.82,-6.83,153.74,-160.57,hard_exit,False,False,fixed,fixed,09:17,2021-04-05 15:15:00+05:30,2021-04-05 10:22:00+05:30,1,2021-04-05 15:15:00+05:30,,19578.0,172674.44999999998,172674.44999999998
2021-04-06,2021-04-06,0,14637.9,119.1,139.25,258.35,99.8,98.0,False,False,1254.5,2681.25,3935.75,122.63,3813.12,hard_exit,False,False,fixed,fixed,09:17,2021-04-06 15:15:00+05:30,2021-04-06 15:15:00+05:30,1,2021-04-06 15:15:00+05:30,,16792.75,171263.43,171263.43
2021-04-07,2021-04-13,4,14724.2,114.35,93.4,207.75,79.7,54.6,False,False,2252.25,2522.0,4774.25,116.11,4658.14,hard_exit,False,False,fixed,fixed,09:17,2021-04-07 15:15:00+05:30,2021-04-07 15:15:00+05:30,1,2021-04-07 15:15:00+05:30,,13503.75,172273.13999999998,172273.13999999998
2021-04-08,2021-04-13,3,14918.6,56.2,42.55,98.75,12.55,55.32,False,True,2837.25,-829.72,2007.53,128.48,1879.05,winner_booking_ce_22pct,False,False,fixed,fixed,09:17,2021-04-08 13:36:00+05:30,2021-04-08 09:19:00+05:30,1,2021-04-08 13:36:00+05:30,,6418.75,174547.62,174547.62
2021-04-08,2021-04-13,3,14936.9,12.9,27.55,40.45,16.77,35.82,True,True,-251.55,-537.23,-788.78,99.68,-888.46,both_sl_hit,False,False,fixed,fixed,09:17,2021-04-08 14:28:00+05:30,2021-04-08 14:34:00+05:30,2,2021-04-08 14:34:00+05:30,,2629.25,174761.72999999998,174761.72999999998
2021-04-09,2021-04-13,2,14863.2,167.0,153.0,320.0,125.2,134.65,False,False,2717.0,1192.75,3909.75,129.96,3779.79,hard_exit,False,False,fixed,fixed,09:17,2021-04-09 15:15:00+05:30,2021-04-09 15:15:00+05:30,1,2021-04-09 15:15:00+05:30,,20800.0,173899.44,173899.44
2021-04-12,2021-04-13,1,14565.5,152.4,132.45,284.85,152.0,129.05,False,False,26.0,221.0,247.0,128.04,118.96,hard_exit,False,False,fixed,fixed,09:17,2021-04-12 15:15:00+05:30,2021-04-12 15:15:00+05:30,1,2021-04-12 15:15:00+05:30,,18515.25,170416.35,170416.35
2021-04-13,2021-04-13,0,14377.1,107.45,124.1,231.55,139.68,74.6,True,False,-2095.28,3217.5,1122.22,144.78,977.44,hard_exit,False,False,fixed,fixed,09:17,2021-04-13 09:19:00+05:30,2021-04-13 15:15:00+05:30,1,2021-04-13 15:15:00+05:30,,15050.75,168212.07,168212.07
