date,expiry,dte,spot_at_entry,ce_entry,pe_entry,combined_premium,ce_exit,pe_exit,ce_sl_hit,pe_sl_hit,ce_pnl,pe_pnl,total_pnl,exit_reason,ce_trailing_activated,pe_trailing_activated,ce_exit_sl_type,pe_exit_sl_type,entry_time,ce_exit_time,pe_exit_time,trade_number,_last_exit_ts,exit_cat,month
2025-03-21,2025-03-25,2,23226.85,127.15,134.8,261.95,165.3,114.85,True,False,-2479.43,1296.75,-1182.67,hard_exit,False,False,fixed,fixed,09:35,2025-03-21 12:29:00+05:30,2025-03-21 15:15:00+05:30,1,2025-03-21 15:15:00+05:30,hard_exit,2025-03
2025-03-24,2025-03-25,1,23472.55,142.25,118.65,260.9,184.92,154.24,True,True,-2773.88,-2313.67,-5087.55,both_sl_hit,False,False,fixed,fixed,09:30,2025-03-24 10:59:00+05:30,2025-03-24 11:03:00+05:30,1,2025-03-24 11:03:00+05:30,both_sl_hit,2025-03
2025-03-25,2025-03-25,0,23729.3,143.5,148.45,291.95,145.25,78.95,False,False,-113.75,4517.5,4403.75,hard_exit,False,False,fixed,fixed,09:30,2025-03-25 15:15:00+05:30,2025-03-25 15:15:00+05:30,1,2025-03-25 15:15:00+05:30,hard_exit,2025-03
2025-03-26,2025-04-01,3,23647.95,109.05,85.7,194.75,91.75,69.55,False,False,1124.5,1049.75,2174.25,hard_exit,False,False,fixed,fixed,09:40,2025-03-26 15:15:00+05:30,2025-03-26 15:15:00+05:30,1,2025-03-26 15:15:00+05:30,hard_exit,2025-03
2025-03-27,2025-04-01,2,23522.4,79.05,46.0,125.05,23.15,59.8,False,True,3633.5,-897.0,2736.5,winner_booking_ce_29pct,False,False,fixed,fixed,09:35,2025-03-27 11:28:00+05:30,2025-03-27 09:41:00+05:30,1,2025-03-27 11:28:00+05:30,winner_booking,2025-03
2025-03-27,2025-04-01,2,23598.9,26.45,13.65,40.1,6.55,17.74,False,True,1293.5,-266.18,1027.32,winner_booking_ce_25pct,False,False,fixed,fixed,09:35,2025-03-27 14:31:00+05:30,2025-03-27 12:19:00+05:30,2,2025-03-27 14:31:00+05:30,winner_booking,2025-03
2025-03-28,2025-04-01,1,23552.05,172.75,139.3,312.05,113.25,121.35,False,False,3867.5,1166.75,5034.25,hard_exit,False,False,fixed,fixed,09:30,2025-03-28 15:15:00+05:30,2025-03-28 15:15:00+05:30,1,2025-03-28 15:15:00+05:30,hard_exit,2025-03
2025-04-01,2025-04-01,0,23476.95,98.4,114.8,213.2,127.92,74.4,True,False,-1918.8,2626.0,707.2,hard_exit,False,False,fixed,fixed,09:30,2025-04-01 09:51:00+05:30,2025-04-01 15:15:00+05:30,1,2025-04-01 15:15:00+05:30,hard_exit,2025-04
2025-04-02,2025-04-08,4,23196.65,101.15,92.1,193.25,52.1,100.65,False,False,3188.25,-555.75,2632.5,hard_exit,False,False,fixed,fixed,09:45,2025-04-02 15:15:00+05:30,2025-04-02 15:15:00+05:30,1,2025-04-02 15:15:00+05:30,hard_exit,2025-04
2025-04-03,2025-04-08,3,23256.4,38.9,37.75,76.65,10.1,49.08,False,True,1872.0,-736.13,1135.87,winner_booking_ce_26pct,False,False,fixed,fixed,09:40,2025-04-03 11:02:00+05:30,2025-04-03 09:44:00+05:30,1,2025-04-03 11:02:00+05:30,winner_booking,2025-04
2025-04-03,2025-04-08,3,23283.55,8.95,37.25,46.2,11.64,8.35,True,False,-174.53,1878.5,1703.98,winner_booking_pe_22pct,False,False,fixed,fixed,09:40,2025-04-03 11:54:00+05:30,2025-04-03 12:14:00+05:30,2,2025-04-03 12:14:00+05:30,winner_booking,2025-04
2025-04-03,2025-04-08,3,23270.25,17.35,7.8,25.15,3.95,10.14,False,True,871.0,-152.1,718.9,winner_booking_ce_23pct,False,False,fixed,fixed,09:40,2025-04-03 13:34:00+05:30,2025-04-03 13:34:00+05:30,3,2025-04-03 13:34:00+05:30,winner_booking,2025-04
2025-04-04,2025-04-08,2,23114.75,156.6,147.75,304.35,109.95,131.6,False,False,3032.25,1049.75,4082.0,hard_exit,False,False,fixed,fixed,09:35,2025-04-04 15:15:00+05:30,2025-04-04 15:15:00+05:30,1,2025-04-04 15:15:00+05:30,hard_exit,2025-04
2025-04-07,2025-04-08,1,22087.95,310.0,248.85,558.85,338.65,323.5,False,True,-1862.25,-4852.58,-6714.82,loss_limit,False,False,fixed,fixed,09:30,2025-04-07 12:21:00+05:30,2025-04-07 12:20:00+05:30,1,2025-04-07 12:21:00+05:30,loss_limit,2025-04
2025-04-08,2025-04-08,0,22539.05,153.75,158.9,312.65,199.88,206.57,True,True,-2998.12,-3098.55,-6096.68,loss_limit,False,False,fixed,fixed,09:30,2025-04-08 10:37:00+05:30,2025-04-08 10:36:00+05:30,1,2025-04-08 10:37:00+05:30,loss_limit,2025-04
2025-04-09,2025-04-15,2,22414.55,76.2,74.4,150.6,22.2,96.72,False,True,3510.0,-1450.8,2059.2,winner_booking_ce_29pct,False,False,fixed,fixed,09:35,2025-04-09 10:30:00+05:30,2025-04-09 09:38:00+05:30,1,2025-04-09 10:30:00+05:30,winner_booking,2025-04
2025-04-09,2025-04-15,2,22373.55,37.7,16.15,53.85,11.3,20.99,False,True,1716.0,-314.92,1401.08,winner_booking_ce_30pct,False,False,fixed,fixed,09:35,2025-04-09 12:10:00+05:30,2025-04-09 11:17:00+05:30,2,2025-04-09 12:10:00+05:30,winner_booking,2025-04
2025-04-09,2025-04-15,2,22426.3,9.85,47.45,57.3,12.8,10.75,True,False,-192.08,2385.5,2193.43,winner_booking_pe_23pct,False,False,fixed,fixed,09:35,2025-04-09 12:56:00+05:30,2025-04-09 12:56:00+05:30,3,2025-04-09 12:56:00+05:30,winner_booking,2025-04
2025-04-11,2025-04-15,1,22777.95,241.6,223.1,464.7,280.65,223.05,False,False,-2538.25,3.25,-2535.0,hard_exit,False,False,fixed,fixed,09:30,2025-04-11 15:15:00+05:30,2025-04-11 15:15:00+05:30,1,2025-04-11 15:15:00+05:30,hard_exit,2025-04
2025-04-15,2025-04-15,0,23289.05,134.4,144.3,278.7,93.15,100.05,False,False,2681.25,2876.25,5557.5,hard_exit,False,False,fixed,fixed,09:30,2025-04-15 15:15:00+05:30,2025-04-15 15:15:00+05:30,1,2025-04-15 15:15:00+05:30,hard_exit,2025-04
2025-04-16,2025-04-22,3,23340.2,57.45,85.35,142.8,74.68,110.96,True,True,-1120.27,-1664.33,-2784.6,both_sl_hit,False,False,fixed,fixed,09:40,2025-04-16 09:45:00+05:30,2025-04-16 10:58:00+05:30,1,2025-04-16 10:58:00+05:30,both_sl_hit,2025-04
2025-04-17,2025-04-22,2,23324.75,54.2,48.35,102.55,70.46,62.86,True,True,-1056.9,-942.83,-1999.73,both_sl_hit,False,False,fixed,fixed,09:35,2025-04-17 09:48:00+05:30,2025-04-17 09:36:00+05:30,1,2025-04-17 09:48:00+05:30,both_sl_hit,2025-04
2025-04-17,2025-04-22,2,23409.25,58.7,60.5,119.2,76.31,78.65,True,True,-1144.65,-1179.75,-2324.4,both_sl_hit,False,False,fixed,fixed,09:35,2025-04-17 10:42:00+05:30,2025-04-17 10:45:00+05:30,2,2025-04-17 10:45:00+05:30,both_sl_hit,2025-04
2025-04-21,2025-04-22,1,23934.15,151.85,190.0,341.85,123.05,126.45,False,False,1872.0,4130.75,6002.75,hard_exit,False,False,fixed,fixed,09:30,2025-04-21 15:15:00+05:30,2025-04-21 15:15:00+05:30,1,2025-04-21 15:15:00+05:30,hard_exit,2025-04
2025-04-22,2025-04-22,0,24141.1,96.1,118.1,214.2,105.9,88.2,False,False,-637.0,1943.5,1306.5,hard_exit,False,False,fixed,fixed,09:30,2025-04-22 15:15:00+05:30,2025-04-22 15:15:00+05:30,1,2025-04-22 15:15:00+05:30,hard_exit,2025-04
2025-04-23,2025-04-29,4,24331.4,69.75,97.6,167.35,90.68,63.15,True,False,-1360.12,2239.25,879.12,hard_exit,False,False,fixed,fixed,09:45,2025-04-23 09:50:00+05:30,2025-04-23 15:15:00+05:30,1,2025-04-23 15:15:00+05:30,hard_exit,2025-04
2025-04-24,2025-04-29,3,24267.15,49.05,33.45,82.5,14.45,43.49,False,True,2249.0,-652.28,1596.72,winner_booking_ce_29pct,False,False,fixed,fixed,09:40,2025-04-24 11:19:00+05:30,2025-04-24 09:41:00+05:30,1,2025-04-24 11:19:00+05:30,winner_booking,2025-04
2025-04-24,2025-04-29,3,24261.7,17.75,12.95,30.7,5.0,16.84,False,True,828.75,-252.53,576.22,winner_booking_ce_28pct,False,False,fixed,fixed,09:40,2025-04-24 13:37:00+05:30,2025-04-24 12:35:00+05:30,2,2025-04-24 13:37:00+05:30,winner_booking,2025-04
2025-04-24,2025-04-29,3,24259.75,11.55,3.15,14.7,3.15,4.1,False,True,546.0,-61.42,484.58,winner_booking_ce_27pct,False,False,fixed,fixed,09:40,2025-04-24 14:45:00+05:30,2025-04-24 14:25:00+05:30,3,2025-04-24 14:45:00+05:30,winner_booking,2025-04
2025-04-25,2025-04-29,2,24276.95,181.85,176.75,358.6,236.4,164.35,True,False,-3546.08,806.0,-2740.08,hard_exit,False,False,fixed,fixed,09:35,2025-04-25 10:00:00+05:30,2025-04-25 15:15:00+05:30,1,2025-04-25 15:15:00+05:30,hard_exit,2025-04
2025-04-28,2025-04-29,1,24132.65,130.6,126.35,256.95,169.78,107.0,True,False,-2546.7,1257.75,-1288.95,hard_exit,False,False,fixed,fixed,09:30,2025-04-28 09:41:00+05:30,2025-04-28 15:15:00+05:30,1,2025-04-28 15:15:00+05:30,hard_exit,2025-04
2025-04-29,2025-04-29,0,24395.6,83.25,88.3,171.55,108.22,50.75,True,False,-1623.38,2440.75,817.37,hard_exit,False,False,fixed,fixed,09:30,2025-04-29 09:39:00+05:30,2025-04-29 15:15:00+05:30,1,2025-04-29 15:15:00+05:30,hard_exit,2025-04
2025-04-30,2025-05-06,3,24354.75,30.65,35.2,65.85,39.84,45.76,True,True,-597.68,-686.4,-1284.08,both_sl_hit,False,False,fixed,fixed,09:40,2025-04-30 09:56:00+05:30,2025-04-30 09:48:00+05:30,1,2025-04-30 09:56:00+05:30,both_sl_hit,2025-04
2025-04-30,2025-05-06,3,24323.45,31.05,18.95,50.0,40.36,24.64,True,True,-605.48,-369.53,-975.0,both_sl_hit,False,False,fixed,fixed,09:40,2025-04-30 11:18:00+05:30,2025-04-30 10:47:00+05:30,2,2025-04-30 11:18:00+05:30,both_sl_hit,2025-04
2025-04-30,2025-05-06,3,24347.75,30.95,20.1,51.05,12.0,6.0,False,False,1231.75,916.5,2148.25,winner_booking_pe_30pct,False,False,fixed,fixed,09:40,2025-04-30 13:00:00+05:30,2025-04-30 14:15:00+05:30,3,2025-04-30 14:15:00+05:30,winner_booking,2025-04
2025-05-02,2025-05-06,2,24520.9,228.6,155.5,384.1,172.65,202.15,False,True,3636.75,-3032.25,604.5,hard_exit,False,False,fixed,fixed,09:35,2025-05-02 15:15:00+05:30,2025-05-02 12:27:00+05:30,1,2025-05-02 15:15:00+05:30,hard_exit,2025-05
2025-05-05,2025-05-06,1,24445.25,134.15,144.45,278.6,111.1,97.25,False,False,1498.25,3068.0,4566.25,hard_exit,False,False,fixed,fixed,09:30,2025-05-05 15:15:00+05:30,2025-05-05 15:15:00+05:30,1,2025-05-05 15:15:00+05:30,hard_exit,2025-05
2025-05-06,2025-05-06,0,24436.55,79.0,93.15,172.15,75.0,82.0,False,False,260.0,724.75,984.75,hard_exit,False,False,fixed,fixed,09:30,2025-05-06 15:15:00+05:30,2025-05-06 15:15:00+05:30,1,2025-05-06 15:15:00+05:30,hard_exit,2025-05
2025-05-07,2025-05-13,4,24383.15,81.4,99.75,181.15,105.82,75.8,True,False,-1587.3,1556.75,-30.55,hard_exit,False,False,fixed,fixed,09:45,2025-05-07 09:46:00+05:30,2025-05-07 15:15:00+05:30,1,2025-05-07 15:15:00+05:30,hard_exit,2025-05
2025-05-08,2025-05-13,3,24388.4,17.9,43.8,61.7,11.35,18.8,False,False,425.75,1625.0,2050.75,combined_decay_51pct,False,False,fixed,fixed,09:40,2025-05-08 11:19:00+05:30,2025-05-08 11:19:00+05:30,1,2025-05-08 11:19:00+05:30,combined_decay,2025-05
2025-05-08,2025-05-13,3,24400.8,9.35,11.75,21.1,12.16,15.28,True,True,-182.32,-229.13,-411.45,both_sl_hit,False,False,fixed,fixed,09:40,2025-05-08 12:15:00+05:30,2025-05-08 13:07:00+05:30,2,2025-05-08 13:07:00+05:30,both_sl_hit,2025-05
2025-05-08,2025-05-13,3,24340.85,15.35,19.6,34.95,19.96,25.48,True,True,-299.33,-382.2,-681.53,both_sl_hit,False,False,fixed,fixed,09:40,2025-05-08 14:12:00+05:30,2025-05-08 14:55:00+05:30,3,2025-05-08 14:55:00+05:30,both_sl_hit,2025-05
2025-05-09,2025-05-13,2,24050.35,257.7,271.0,528.7,232.0,246.35,False,False,1670.5,1602.25,3272.75,hard_exit,False,False,fixed,fixed,09:35,2025-05-09 15:15:00+05:30,2025-05-09 15:15:00+05:30,1,2025-05-09 15:15:00+05:30,hard_exit,2025-05
2025-05-12,2025-05-13,1,24586.95,133.35,151.45,284.8,173.36,196.88,True,True,-2600.32,-2953.28,-5553.6,both_sl_hit,False,False,fixed,fixed,09:30,2025-05-12 09:54:00+05:30,2025-05-12 12:30:00+05:30,1,2025-05-12 12:30:00+05:30,both_sl_hit,2025-05
2025-05-13,2025-05-13,0,24747.3,182.4,196.6,379.0,237.12,132.1,True,False,-3556.8,4192.5,635.7,hard_exit,False,False,fixed,fixed,09:30,2025-05-13 09:40:00+05:30,2025-05-13 15:15:00+05:30,1,2025-05-13 15:15:00+05:30,hard_exit,2025-05
2025-05-14,2025-05-20,4,24739.7,101.55,128.5,230.05,79.1,113.6,False,False,1459.25,968.5,2427.75,hard_exit,False,False,fixed,fixed,09:45,2025-05-14 15:15:00+05:30,2025-05-14 15:15:00+05:30,1,2025-05-14 15:15:00+05:30,hard_exit,2025-05
2025-05-15,2025-05-20,3,24566.25,63.25,62.7,125.95,82.22,81.51,True,True,-1233.38,-1222.65,-2456.03,both_sl_hit,False,False,fixed,fixed,09:40,2025-05-15 09:52:00+05:30,2025-05-15 09:44:00+05:30,1,2025-05-15 09:52:00+05:30,both_sl_hit,2025-05
