base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
30.0,False,0.0,10.0,104020.66,127,66.9,2017.69,-1606.73,2.54,-9127.63,4.36,"{0: 55107.909999999996, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 23, 'both_sl_hit': 19, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1}"
30.0,False,0.0,15.0,104020.66,127,66.9,2017.69,-1606.73,2.54,-9127.63,4.36,"{0: 55107.909999999996, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 23, 'both_sl_hit': 19, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1}"
30.0,False,0.0,20.0,104020.66,127,66.9,2017.69,-1606.73,2.54,-9127.63,4.36,"{0: 55107.909999999996, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 23, 'both_sl_hit': 19, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1}"
30.0,False,40.0,10.0,94577.88,127,67.7,1870.46,-1616.63,2.43,-9127.63,4.04,"{0: 45536.04, 3: 18579.6, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 41, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1, 'winner_booking': 1}"
25.0,False,0.0,10.0,94172.4,127,65.4,1974.94,-1585.18,2.35,-8456.49,4.0,"{0: 45259.65, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 22, 'both_sl_hit': 22, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
25.0,False,0.0,15.0,94172.4,127,65.4,1974.94,-1585.18,2.35,-8456.49,4.0,"{0: 45259.65, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 22, 'both_sl_hit': 22, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
25.0,False,0.0,20.0,94172.4,127,65.4,1974.94,-1585.18,2.35,-8456.49,4.0,"{0: 45259.65, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'winner_booking': 22, 'both_sl_hit': 22, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
30.0,False,40.0,15.0,93166.71,127,67.7,1854.05,-1616.63,2.41,-9127.63,4.0,"{0: 44328.97, 3: 18375.5, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 41, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1, 'winner_booking': 1}"
30.0,False,50.0,10.0,91640.67,127,69.3,1754.1,-1608.2,2.46,-9127.63,4.02,"{0: 37728.24, 3: 22249.63, 4: 31662.8}","{'hard_exit': 70, 'both_sl_hit': 44, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1}"
30.0,False,40.0,20.0,91434.48,127,67.7,1833.91,-1616.63,2.38,-9127.63,3.93,"{0: 43151.84, 3: 17820.4, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 41, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1, 'winner_booking': 1}"
30.0,False,50.0,15.0,89166.75,127,69.3,1725.98,-1608.2,2.42,-9127.63,3.93,"{0: 36293.68, 3: 21493.68, 4: 31379.39}","{'hard_exit': 70, 'both_sl_hit': 44, 'profit_target': 7, 'loss_limit': 5, 'combined_decay': 1}"
30.0,False,60.0,10.0,87039.41,127,73.2,1548.82,-1676.51,2.53,-9362.93,4.0,"{0: 34761.34, 3: 20402.07, 4: 31876.0}","{'hard_exit': 67, 'both_sl_hit': 50, 'loss_limit': 5, 'profit_target': 5}"
30.0,False,50.0,20.0,86544.02,127,69.3,1696.18,-1608.2,2.38,-9127.63,3.83,"{0: 34976.15, 3: 20471.88, 4: 31095.99}","{'hard_exit': 70, 'both_sl_hit': 45, 'profit_target': 6, 'loss_limit': 5, 'combined_decay': 1}"
25.0,False,40.0,10.0,85324.99,127,66.1,1831.8,-1594.11,2.24,-8456.49,3.71,"{0: 36283.15, 3: 18579.6, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 43, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1, 'winner_booking': 1}"
25.0,False,40.0,15.0,83989.23,127,66.1,1815.9,-1594.11,2.23,-8456.49,3.66,"{0: 35151.49, 3: 18375.5, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 43, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1, 'winner_booking': 1}"
25.0,False,50.0,10.0,82814.82,127,67.7,1718.6,-1584.99,2.27,-8456.49,3.71,"{0: 28902.39, 3: 22249.63, 4: 31662.8}","{'hard_exit': 69, 'both_sl_hit': 47, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
25.0,False,40.0,20.0,82331.73,127,66.1,1796.17,-1594.11,2.2,-8456.49,3.61,"{0: 34049.09, 3: 17820.4, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 43, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1, 'winner_booking': 1}"
30.0,False,60.0,15.0,80875.45,127,72.4,1499.79,-1631.57,2.42,-9546.88,3.75,"{0: 31333.239999999998, 3: 18686.72, 4: 30855.489999999998}","{'hard_exit': 67, 'both_sl_hit': 50, 'loss_limit': 5, 'profit_target': 5}"
25.0,False,50.0,15.0,80202.47,127,67.7,1688.22,-1584.99,2.23,-8456.49,3.61,"{0: 27329.4, 3: 21493.68, 4: 31379.39}","{'hard_exit': 69, 'both_sl_hit': 47, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
25.0,False,60.0,10.0,79016.12,127,72.4,1502.35,-1691.43,2.33,-8456.49,3.69,"{0: 26738.05, 3: 20402.07, 4: 31876.0}","{'hard_exit': 63, 'both_sl_hit': 55, 'profit_target': 5, 'loss_limit': 4}"
25.0,False,50.0,20.0,77440.61,127,67.7,1656.11,-1584.99,2.19,-8456.49,3.51,"{0: 25872.74, 3: 20471.88, 4: 31095.99}","{'hard_exit': 69, 'both_sl_hit': 48, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
20.0,False,0.0,20.0,75760.35,127,62.2,1903.58,-1554.64,2.02,-8206.45,3.28,"{0: 26847.6, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 24, 'winner_booking': 19, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1}"
20.0,False,0.0,15.0,75760.35,127,62.2,1903.58,-1554.64,2.02,-8206.45,3.28,"{0: 26847.6, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 24, 'winner_booking': 19, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1}"
20.0,False,0.0,10.0,75760.35,127,62.2,1903.58,-1554.64,2.02,-8206.45,3.28,"{0: 26847.6, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 24, 'winner_booking': 19, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1}"
30.0,False,60.0,20.0,75108.64,127,72.4,1438.37,-1634.89,2.31,-9731.48,3.5,"{0: 28109.23, 3: 16966.82, 4: 30032.59}","{'hard_exit': 67, 'both_sl_hit': 50, 'loss_limit': 5, 'profit_target': 5}"
25.0,False,60.0,15.0,72968.52,127,72.4,1436.62,-1691.43,2.23,-8613.14,3.44,"{0: 23426.309999999998, 3: 18686.72, 4: 30855.489999999998}","{'hard_exit': 63, 'both_sl_hit': 55, 'profit_target': 5, 'loss_limit': 4}"
20.0,False,40.0,10.0,68728.39,127,63.0,1776.87,-1562.16,1.94,-8528.85,3.04,"{0: 19686.55, 3: 18579.6, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 42, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1, 'winner_booking': 1}"
20.0,False,50.0,10.0,68427.58,127,64.6,1686.43,-1552.44,1.98,-8228.54,3.11,"{0: 14515.149999999998, 3: 22249.63, 4: 31662.8}","{'hard_exit': 70, 'both_sl_hit': 46, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1}"
20.0,False,40.0,15.0,67670.84,127,63.0,1763.65,-1562.16,1.92,-8552.9,3.01,"{0: 18833.1, 3: 18375.5, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 42, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1, 'winner_booking': 1}"
15.0,False,0.0,20.0,67318.17,127,59.1,1864.57,-1394.7,1.93,-10132.83,3.06,"{0: 18405.42, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 31, 'winner_booking': 16, 'profit_target': 4, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,0.0,15.0,67318.17,127,59.1,1864.57,-1394.7,1.93,-10132.83,3.06,"{0: 18405.42, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 31, 'winner_booking': 16, 'profit_target': 4, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,0.0,10.0,67318.17,127,59.1,1864.57,-1394.7,1.93,-10132.83,3.06,"{0: 18405.42, 3: 18450.510000000002, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 31, 'winner_booking': 16, 'profit_target': 4, 'loss_limit': 3, 'combined_decay': 1}"
25.0,False,60.0,20.0,67318.06,127,72.4,1375.2,-1691.43,2.14,-8797.74,3.19,"{0: 20318.65, 3: 16966.82, 4: 30032.59}","{'hard_exit': 63, 'both_sl_hit': 55, 'profit_target': 5, 'loss_limit': 4}"
20.0,False,40.0,20.0,66292.19,127,63.0,1746.42,-1562.16,1.9,-8608.8,2.96,"{0: 18009.55, 3: 17820.4, 4: 30462.239999999998}","{'hard_exit': 73, 'both_sl_hit': 42, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1, 'winner_booking': 1}"
