reentry_max_per_day,reentry_cooldown_min,reentry_max_loss_per_lot,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
2,45,2000,188870.76,291,64.3,1887.7,-1593.49,2.15,-12811.5,4.85,"{0: 81179.39, 1: 26099.129999999997, 2: 12521.429999999998, 3: 38715.82, 4: 30354.989999999998}","{'hard_exit': 162, 'winner_booking': 67, 'both_sl_hit': 53, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2, 'asymmetric_book': 1}"
2,45,5000,187082.53,304,64.5,1849.71,-1639.82,2.07,-13094.19,4.71,"{0: 82995.16, 1: 28197.65, 2: 12549.05, 3: 32985.68, 4: 30354.989999999998}","{'hard_exit': 168, 'winner_booking': 70, 'both_sl_hit': 57, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2, 'asymmetric_book': 1}"
2,45,3000,181100.33,299,63.9,1866.81,-1639.82,2.03,-13094.19,4.57,"{0: 82935.04, 1: 26275.93, 2: 12549.05, 3: 28985.32, 4: 30354.989999999998}","{'hard_exit': 164, 'winner_booking': 69, 'both_sl_hit': 57, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2, 'asymmetric_book': 1}"
1,60,5000,175945.28,273,64.1,1934.46,-1659.03,2.08,-16978.26,4.54,"{0: 83212.93000000001, 1: 25525.5, 2: 2999.7299999999996, 3: 33852.13, 4: 30354.989999999998}","{'hard_exit': 168, 'winner_booking': 52, 'both_sl_hit': 45, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
1,60,3000,175131.16,269,64.3,1944.07,-1679.09,2.09,-16978.26,4.52,"{0: 81539.18000000001, 1: 25936.629999999997, 2: 2999.7299999999996, 3: 34300.63, 4: 30354.989999999998}","{'hard_exit': 164, 'winner_booking': 52, 'both_sl_hit': 45, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
2,60,5000,174250.24,293,61.8,1901.42,-1517.03,2.03,-15194.01,4.46,"{0: 82820.0, 1: 25525.5, 2: 6915.169999999999, 3: 28634.58, 4: 30354.989999999998}","{'hard_exit': 171, 'both_sl_hit': 56, 'winner_booking': 56, 'loss_limit': 4, 'asymmetric_book': 2, 'combined_decay': 2, 'profit_target': 2}"
1,45,2000,173949.96,265,64.5,1940.21,-1678.99,2.1,-12811.5,4.52,"{0: 79358.73, 1: 26099.129999999997, 2: 6446.36, 3: 31690.75, 4: 30354.989999999998}","{'hard_exit': 160, 'winner_booking': 51, 'both_sl_hit': 46, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
2,60,3000,173436.12,289,61.9,1910.34,-1531.95,2.03,-15194.01,4.45,"{0: 81146.25, 1: 25936.629999999997, 2: 6915.169999999999, 3: 29083.08, 4: 30354.989999999998}","{'hard_exit': 167, 'both_sl_hit': 56, 'winner_booking': 56, 'loss_limit': 4, 'asymmetric_book': 2, 'combined_decay': 2, 'profit_target': 2}"
2,45,1000,170837.13,263,64.6,1906.67,-1666.26,2.11,-12811.5,4.47,"{0: 75227.34, 1: 26099.129999999997, 2: 10551.119999999999, 3: 28604.55, 4: 30354.989999999998}","{'hard_exit': 161, 'winner_booking': 50, 'both_sl_hit': 43, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2, 'asymmetric_book': 1}"
1,60,2000,170727.48,262,64.5,1939.74,-1689.12,2.09,-14922.96,4.45,"{0: 79475.11, 1: 26099.129999999997, 2: 1943.4799999999996, 3: 32854.770000000004, 4: 30354.989999999998}","{'hard_exit': 161, 'winner_booking': 49, 'both_sl_hit': 44, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
1,45,5000,170687.27,276,64.9,1885.66,-1720.05,2.02,-15319.63,4.37,"{0: 81174.5, 1: 28197.65, 2: 6473.98, 3: 24486.15, 4: 30354.989999999998}","{'hard_exit': 166, 'winner_booking': 53, 'both_sl_hit': 49, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
