date,expiry,dte,spot_at_entry,ce_entry,pe_entry,combined_premium,ce_exit,pe_exit,ce_sl_hit,pe_sl_hit,ce_pnl,pe_pnl,total_pnl,exit_reason,ce_trailing_activated,pe_trailing_activated,ce_exit_sl_type,pe_exit_sl_type,entry_time,ce_exit_time,pe_exit_time
2025-03-21,2025-03-25,2,23226.85,127.15,134.8,261.95,158.94,118.35,True,False,-2066.19,1069.25,-996.94,spot_move_142pts,False,False,fixed,fixed,09:35,2025-03-21 09:46:00+05:30,2025-03-21 11:33:00+05:30
2025-03-24,2025-03-25,1,23472.55,142.25,118.65,260.9,170.7,142.38,True,True,-1849.25,-1542.45,-3391.7,both_sl_hit,False,False,fixed,fixed,09:30,2025-03-24 10:58:00+05:30,2025-03-24 09:32:00+05:30
2025-03-25,2025-03-25,0,23729.3,143.5,148.45,291.95,172.2,115.0,True,False,-1865.5,2174.25,308.75,recovery_lock_61pct,False,False,fixed,fixed,09:30,2025-03-25 10:14:00+05:30,2025-03-25 10:29:00+05:30
2025-03-26,2025-04-01,3,23647.95,109.05,85.7,194.75,125.41,70.4,True,False,-1063.24,994.5,-68.74,spot_move_94pts,False,False,fixed,fixed,09:40,2025-03-26 13:07:00+05:30,2025-03-26 13:10:00+05:30
2025-03-27,2025-04-01,2,23522.4,79.05,46.0,125.05,63.85,57.5,False,True,988.0,-747.5,240.5,recovery_lock_75pct,False,False,fixed,fixed,09:35,2025-03-27 09:45:00+05:30,2025-03-27 09:41:00+05:30
2025-03-28,2025-04-01,1,23552.05,172.75,139.3,312.05,117.9,116.9,False,False,3565.25,1456.0,5021.25,profit_target,False,False,fixed,fixed,09:30,2025-03-28 15:10:00+05:30,2025-03-28 15:10:00+05:30
2025-04-01,2025-04-01,0,23476.95,98.4,114.8,213.2,118.08,92.2,True,False,-1279.2,1469.0,189.8,recovery_lock_67pct,False,False,fixed,fixed,09:30,2025-04-01 09:34:00+05:30,2025-04-01 10:09:00+05:30
2025-04-02,2025-04-08,4,23196.65,101.15,92.1,193.25,52.1,98.55,False,True,3188.25,-419.06,2769.2,spot_move_134pts,False,False,fixed,fixed,09:45,2025-04-02 15:15:00+05:30,2025-04-02 15:15:00+05:30
2025-04-03,2025-04-08,3,23256.4,38.9,37.75,76.65,22.37,48.32,True,True,1074.45,-687.05,387.4,both_sl_hit,True,False,trailing,fixed,09:40,2025-04-03 10:03:00+05:30,2025-04-03 09:44:00+05:30
2025-04-04,2025-04-08,2,23114.75,156.6,147.75,304.35,109.95,131.6,False,False,3032.25,1049.75,4082.0,hard_exit,False,False,fixed,fixed,09:35,2025-04-04 15:15:00+05:30,2025-04-04 15:15:00+05:30
2025-04-07,2025-04-08,1,22087.95,310.0,248.85,558.85,338.65,286.18,False,True,-1862.25,-2426.29,-4288.54,loss_limit,False,False,fixed,fixed,09:30,2025-04-07 12:21:00+05:30,2025-04-07 12:04:00+05:30
2025-04-08,2025-04-08,0,22539.05,153.75,158.9,312.65,184.5,154.9,True,False,-1998.75,260.0,-1738.75,spot_move_165pts,False,False,fixed,fixed,09:30,2025-04-08 09:37:00+05:30,2025-04-08 10:17:00+05:30
2025-04-09,2025-04-15,2,22414.55,76.2,74.4,150.6,56.3,93.0,False,True,1293.5,-1209.0,84.5,recovery_lock_93pct,False,False,fixed,fixed,09:35,2025-04-09 10:12:00+05:30,2025-04-09 09:37:00+05:30
2025-04-11,2025-04-15,1,22777.95,241.6,223.1,464.7,289.92,240.8,True,False,-3140.8,-1150.5,-4291.3,loss_limit,False,False,fixed,fixed,09:30,2025-04-11 09:49:00+05:30,2025-04-11 14:03:00+05:30
2025-04-15,2025-04-15,0,23289.05,134.4,144.3,278.7,161.28,116.25,True,False,-1747.2,1823.25,76.05,recovery_lock_87pct,False,False,fixed,fixed,09:30,2025-04-15 09:34:00+05:30,2025-04-15 10:08:00+05:30
2025-04-16,2025-04-22,3,23340.2,57.45,85.35,142.8,73.54,109.25,True,True,-1045.59,-1553.37,-2598.96,both_sl_hit,False,False,fixed,fixed,09:40,2025-04-16 09:43:00+05:30,2025-04-16 10:34:00+05:30
2025-04-17,2025-04-22,2,23324.75,54.2,48.35,102.55,48.2,60.44,False,True,390.0,-785.69,-395.69,spot_move_62pts,False,False,fixed,fixed,09:35,2025-04-17 09:42:00+05:30,2025-04-17 09:36:00+05:30
2025-04-21,2025-04-22,1,23934.15,151.85,190.0,341.85,128.1,136.2,False,False,1543.75,3497.0,5040.75,profit_target,False,False,fixed,fixed,09:30,2025-04-21 12:14:00+05:30,2025-04-21 12:14:00+05:30
2025-04-22,2025-04-22,0,24141.1,96.1,118.1,214.2,115.32,97.35,True,False,-1249.3,1348.75,99.45,recovery_lock_91pct,False,False,fixed,fixed,09:30,2025-04-22 09:33:00+05:30,2025-04-22 13:19:00+05:30
2025-04-23,2025-04-29,4,24331.4,69.75,97.6,167.35,90.68,102.0,True,False,-1360.12,-286.0,-1646.12,spot_move_99pts,False,False,fixed,fixed,09:45,2025-04-23 09:50:00+05:30,2025-04-23 10:07:00+05:30
2025-04-24,2025-04-29,3,24267.15,49.05,33.45,82.5,39.25,42.82,False,True,637.0,-608.79,28.21,recovery_lock_95pct,False,False,fixed,fixed,09:40,2025-04-24 10:02:00+05:30,2025-04-24 09:41:00+05:30
2025-04-25,2025-04-29,2,24276.95,181.85,176.75,358.6,227.31,174.6,True,False,-2955.06,139.75,-2815.31,spot_move_253pts,False,False,fixed,fixed,09:35,2025-04-25 10:00:00+05:30,2025-04-25 10:00:00+05:30
2025-04-28,2025-04-29,1,24132.65,130.6,126.35,256.95,156.72,106.65,True,False,-1697.8,1280.5,-417.3,spot_move_129pts,False,False,fixed,fixed,09:30,2025-04-28 09:37:00+05:30,2025-04-28 10:08:00+05:30
