Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2020-01-01,,09:17:00,12206.8,,,,,2020-01-01,,15:15:00,12182.45,565.5,,,669.5,-107.25,Exit Condition Met For Trade
1.1,2020-01-01,Wednesday,09:17:00,36.55,65,CE,12200.0,Sell,2020-01-01,Wednesday,15:15:00,21.1,1004.2499999999998,42.27086183310533,2020-01-02,,,Exit Condition Met For Trade
1.2,2020-01-01,Wednesday,09:17:00,33.75,65,PE,12200.0,Sell,2020-01-01,Wednesday,10:52:00,40.5,-438.75,-20.0,2020-01-02,,,Stop Loss Hit
2,2020-01-02,,09:17:00,12209.75,,,,,2020-01-02,,15:15:00,12284.05,747.5,,,747.5,-104.0,Exit Condition Met For Trade
2.1,2020-01-02,Thursday,09:17:00,26.2,65,CE,12200.0,Sell,2020-01-02,Thursday,09:21:00,31.45,-341.25,-20.0381679389313,2020-01-02,,,Stop Loss Hit
2.2,2020-01-02,Thursday,09:17:00,16.8,65,PE,12200.0,Sell,2020-01-02,Thursday,15:15:00,0.05,1088.75,99.70238095238095,2020-01-02,,,Exit Condition Met For Trade
3,2020-01-03,,09:17:00,12237.9,,,,,2020-01-03,,15:15:00,12227.0,-351.0,,,500.5,-646.75,Exit Condition Met For Trade
3.1,2020-01-03,Friday,09:17:00,56.6,65,CE,12250.0,Sell,2020-01-03,Friday,15:15:00,48.35,536.25,14.575971731448762,2020-01-09,,,Exit Condition Met For Trade
3.2,2020-01-03,Friday,09:17:00,68.25,65,PE,12250.0,Sell,2020-01-03,Friday,11:46:00,81.9,-887.2500000000003,-20.000000000000007,2020-01-09,,,Stop Loss Hit
4,2020-01-06,,09:17:00,12133.6,,,,,2020-01-06,,15:15:00,11994.35,1459.25,,,1605.5,-542.75,Exit Condition Met For Trade
4.1,2020-01-06,Monday,09:17:00,55.4,65,CE,12150.0,Sell,2020-01-06,Monday,15:15:00,19.0,2366.0,65.70397111913357,2020-01-09,,,Exit Condition Met For Trade
4.2,2020-01-06,Monday,09:17:00,69.7,65,PE,12150.0,Sell,2020-01-06,Monday,09:24:00,83.65,-906.7500000000002,-20.014347202295554,2020-01-09,,,Stop Loss Hit
5,2020-01-07,,09:17:00,12120.2,,,,,2020-01-07,,15:15:00,12055.4,1264.25,,,1781.0,0,Exit Condition Met For Trade
5.1,2020-01-07,Tuesday,09:17:00,64.3,65,CE,12100.0,Sell,2020-01-07,Tuesday,15:15:00,35.5,1871.9999999999998,44.79004665629859,2020-01-09,,,Exit Condition Met For Trade
5.2,2020-01-07,Tuesday,09:17:00,46.0,65,PE,12100.0,Sell,2020-01-07,Tuesday,11:02:00,55.35,-607.7500000000001,-20.326086956521742,2020-01-09,,,Stop Loss Hit
6,2020-01-08,,09:17:00,11949.85,,,,,2020-01-08,,15:15:00,12023.5,1647.75,,,2002.0,-351.0,Exit Condition Met For Trade
6.1,2020-01-08,Wednesday,09:17:00,64.0,65,CE,11950.0,Sell,2020-01-08,Wednesday,09:22:00,76.8,-831.9999999999998,-19.999999999999996,2020-01-09,,,Stop Loss Hit
6.2,2020-01-08,Wednesday,09:17:00,63.15,65,PE,11950.0,Sell,2020-01-08,Wednesday,15:15:00,25.0,2479.75,60.4117181314331,2020-01-09,,,Exit Condition Met For Trade
7,2020-01-09,,09:17:00,12159.5,,,,,2020-01-09,,15:15:00,12218.1,1400.75,,,1400.75,-273.0,Exit Condition Met For Trade
7.1,2020-01-09,Thursday,09:17:00,26.7,65,CE,12150.0,Sell,2020-01-09,Thursday,09:19:00,32.05,-347.7499999999999,-20.03745318352059,2020-01-09,,,Stop Loss Hit
7.2,2020-01-09,Thursday,09:17:00,26.95,65,PE,12150.0,Sell,2020-01-09,Thursday,15:15:00,0.05,1748.5,99.81447124304268,2020-01-09,,,Exit Condition Met For Trade
8,2020-01-10,,09:17:00,12257.5,,,,,2020-01-10,,14:56:00,12220.6,-1904.5,,,289.25,-1904.5,
8.1,2020-01-10,Friday,09:17:00,74.8,65,CE,12250.0,Sell,2020-01-10,Friday,10:29:00,89.75,-971.7500000000002,-19.986631016042786,2020-01-16,,,Stop Loss Hit
8.2,2020-01-10,Friday,09:17:00,71.0,65,PE,12250.0,Sell,2020-01-10,Friday,14:56:00,85.35,-932.7499999999997,-20.211267605633797,2020-01-16,,,Stop Loss Hit
9,2020-01-13,,09:17:00,12315.35,,,,,2020-01-13,,15:15:00,12330.7,1027.0,,,1140.75,-71.5,Exit Condition Met For Trade
9.1,2020-01-13,Monday,09:17:00,76.05,65,CE,12300.0,Sell,2020-01-13,Monday,15:15:00,74.35,110.50000000000018,2.235371466140701,2020-01-16,,,Exit Condition Met For Trade
9.2,2020-01-13,Monday,09:17:00,60.05,65,PE,12300.0,Sell,2020-01-13,Monday,15:15:00,45.95,916.4999999999997,23.48043297252289,2020-01-16,,,Exit Condition Met For Trade
10,2020-01-14,,09:17:00,12309.35,,,,,2020-01-14,,15:15:00,12361.55,1196.0,,,1456.0,-247.0,Exit Condition Met For Trade
10.1,2020-01-14,Tuesday,09:17:00,53.5,65,CE,12300.0,Sell,2020-01-14,Tuesday,09:34:00,64.2,-695.5000000000002,-20.000000000000004,2020-01-16,,,Stop Loss Hit
10.2,2020-01-14,Tuesday,09:17:00,53.35,65,PE,12300.0,Sell,2020-01-14,Tuesday,15:15:00,24.25,1891.5,54.54545454545455,2020-01-16,,,Exit Condition Met For Trade
11,2020-01-15,,09:17:00,12326.45,,,,,2020-01-15,,15:07:00,12337.65,-1056.25,,,0,-1056.25,
11.1,2020-01-15,Wednesday,09:17:00,22.75,65,CE,12350.0,Sell,2020-01-15,Wednesday,15:07:00,27.3,-295.75000000000006,-20.000000000000004,2020-01-16,,,Stop Loss Hit
11.2,2020-01-15,Wednesday,09:17:00,58.5,65,PE,12350.0,Sell,2020-01-15,Wednesday,09:31:00,70.2,-760.5000000000002,-20.000000000000004,2020-01-16,,,Stop Loss Hit
12,2020-01-16,,09:17:00,12363.55,,,,,2020-01-16,,11:14:00,12318.4,-568.75,,,497.25,-568.75,
12.1,2020-01-16,Thursday,09:17:00,23.6,65,CE,12350.0,Sell,2020-01-16,Thursday,09:20:00,28.3,-305.49999999999994,-19.91525423728813,2020-01-16,,,Stop Loss Hit
12.2,2020-01-16,Thursday,09:17:00,20.35,65,PE,12350.0,Sell,2020-01-16,Thursday,11:14:00,24.4,-263.24999999999983,-19.901719901719886,2020-01-16,,,Stop Loss Hit
13,2020-01-17,,09:17:00,12331.15,,,,,2020-01-17,,15:15:00,12350.9,490.75,,,1199.25,-877.5,Exit Condition Met For Trade
13.1,2020-01-17,Friday,09:17:00,50.0,65,CE,12350.0,Sell,2020-01-17,Friday,09:19:00,60.0,-650.0,-20.0,2020-01-23,,,Stop Loss Hit
13.2,2020-01-17,Friday,09:17:00,77.0,65,PE,12350.0,Sell,2020-01-17,Friday,15:15:00,59.45,1140.7499999999998,22.79220779220779,2020-01-23,,,Exit Condition Met For Trade
14,2020-01-20,,09:17:00,12380.9,,,,,2020-01-20,,15:15:00,12223.7,1144.0,,,1225.25,-377.0,Exit Condition Met For Trade
14.1,2020-01-20,Monday,09:17:00,45.4,65,CE,12400.0,Sell,2020-01-20,Monday,15:15:00,13.5,2073.5,70.26431718061674,2020-01-23,,,Exit Condition Met For Trade
14.2,2020-01-20,Monday,09:17:00,71.5,65,PE,12400.0,Sell,2020-01-20,Monday,09:33:00,85.8,-929.4999999999998,-19.999999999999996,2020-01-23,,,Stop Loss Hit
15,2020-01-21,,09:17:00,12165.75,,,,,2020-01-21,,15:15:00,12167.45,-29.25,,,552.5,-497.25,Exit Condition Met For Trade
15.1,2020-01-21,Tuesday,09:17:00,66.9,65,CE,12150.0,Sell,2020-01-21,Tuesday,09:23:00,80.3,-870.9999999999994,-20.02989536621822,2020-01-23,,,Stop Loss Hit
15.2,2020-01-21,Tuesday,09:17:00,46.5,65,PE,12150.0,Sell,2020-01-21,Tuesday,15:15:00,33.55,841.7500000000002,27.849462365591403,2020-01-23,,,Exit Condition Met For Trade
16,2020-01-22,,09:17:00,12218.95,,,,,2020-01-22,,15:15:00,12106.9,2089.75,,,2258.75,-503.75,Exit Condition Met For Trade
