date,expiry,dte,spot_at_entry,ce_entry,pe_entry,combined_premium,ce_exit,pe_exit,ce_sl_hit,pe_sl_hit,ce_pnl,pe_pnl,total_pnl,entry_time,ce_exit_time,pe_exit_time
2025-03-21,2025-03-25,2,23226.85,127.15,134.8,261.95,158.94,114.85,True,False,-2066.19,1296.75,-769.44,09:35,2025-03-21 09:46:00+05:30,2025-03-21 15:15:00+05:30
2025-03-24,2025-03-25,1,23472.55,142.25,118.65,260.9,170.7,142.38,True,True,-1849.25,-1542.45,-3391.7,09:30,2025-03-24 10:58:00+05:30,2025-03-24 09:32:00+05:30
2025-03-25,2025-03-25,0,23729.3,143.5,148.45,291.95,172.2,78.95,True,False,-1865.5,4517.5,2652.0,09:30,2025-03-25 10:14:00+05:30,2025-03-25 15:15:00+05:30
2025-03-26,2025-04-01,3,23647.95,109.05,85.7,194.75,125.41,69.55,True,False,-1063.24,1049.75,-13.49,09:40,2025-03-26 13:07:00+05:30,2025-03-26 15:15:00+05:30
2025-03-27,2025-04-01,2,23522.4,79.05,46.0,125.05,0.45,57.5,False,True,5109.0,-747.5,4361.5,09:35,2025-03-27 15:15:00+05:30,2025-03-27 09:41:00+05:30
2025-03-28,2025-04-01,1,23552.05,172.75,139.3,312.05,117.9,116.9,False,False,3565.25,1456.0,5021.25,09:30,2025-03-28 15:10:00+05:30,2025-03-28 15:10:00+05:30
2025-04-01,2025-04-01,0,23476.95,98.4,114.8,213.2,118.08,74.4,True,False,-1279.2,2626.0,1346.8,09:30,2025-04-01 09:34:00+05:30,2025-04-01 15:15:00+05:30
2025-04-02,2025-04-08,4,23196.65,101.15,92.1,193.25,52.1,98.55,False,True,3188.25,-419.06,2769.2,09:45,2025-04-02 15:15:00+05:30,2025-04-02 15:15:00+05:30
2025-04-03,2025-04-08,3,23256.4,38.9,37.75,76.65,2.05,48.32,False,True,2395.25,-687.05,1708.2,09:40,2025-04-03 15:15:00+05:30,2025-04-03 09:44:00+05:30
2025-04-04,2025-04-08,2,23114.75,156.6,147.75,304.35,109.95,131.6,False,False,3032.25,1049.75,4082.0,09:35,2025-04-04 15:15:00+05:30,2025-04-04 15:15:00+05:30
2025-04-07,2025-04-08,1,22087.95,310.0,248.85,558.85,338.65,286.18,False,True,-1862.25,-2426.29,-4288.54,09:30,2025-04-07 12:21:00+05:30,2025-04-07 12:04:00+05:30
2025-04-08,2025-04-08,0,22539.05,153.75,158.9,312.65,184.5,190.68,True,True,-1998.75,-2065.7,-4064.45,09:30,2025-04-08 09:37:00+05:30,2025-04-08 10:36:00+05:30
2025-04-09,2025-04-15,2,22414.55,76.2,74.4,150.6,0.9,93.0,False,True,4894.5,-1209.0,3685.5,09:35,2025-04-09 15:15:00+05:30,2025-04-09 09:37:00+05:30
2025-04-11,2025-04-15,1,22777.95,241.6,223.1,464.7,289.92,240.8,True,False,-3140.8,-1150.5,-4291.3,09:30,2025-04-11 09:49:00+05:30,2025-04-11 14:03:00+05:30
2025-04-15,2025-04-15,0,23289.05,134.4,144.3,278.7,161.28,100.05,True,False,-1747.2,2876.25,1129.05,09:30,2025-04-15 09:34:00+05:30,2025-04-15 15:15:00+05:30
2025-04-16,2025-04-22,3,23340.2,57.45,85.35,142.8,73.54,109.25,True,True,-1045.59,-1553.37,-2598.96,09:40,2025-04-16 09:43:00+05:30,2025-04-16 10:34:00+05:30
2025-04-17,2025-04-22,2,23324.75,54.2,48.35,102.55,67.75,60.44,True,True,-880.75,-785.69,-1666.44,09:35,2025-04-17 09:45:00+05:30,2025-04-17 09:36:00+05:30
2025-04-21,2025-04-22,1,23934.15,151.85,190.0,341.85,128.1,136.2,False,False,1543.75,3497.0,5040.75,09:30,2025-04-21 12:14:00+05:30,2025-04-21 12:14:00+05:30
2025-04-22,2025-04-22,0,24141.1,96.1,118.1,214.2,115.32,88.2,True,False,-1249.3,1943.5,694.2,09:30,2025-04-22 09:33:00+05:30,2025-04-22 15:15:00+05:30
2025-04-23,2025-04-29,4,24331.4,69.75,97.6,167.35,90.68,63.15,True,False,-1360.12,2239.25,879.12,09:45,2025-04-23 09:50:00+05:30,2025-04-23 15:15:00+05:30
2025-04-24,2025-04-29,3,24267.15,49.05,33.45,82.5,0.55,42.82,False,True,3152.5,-608.79,2543.71,09:40,2025-04-24 15:15:00+05:30,2025-04-24 09:41:00+05:30
2025-04-25,2025-04-29,2,24276.95,181.85,176.75,358.6,227.31,193.1,True,False,-2955.06,-1062.75,-4017.81,09:35,2025-04-25 10:00:00+05:30,2025-04-25 10:07:00+05:30
2025-04-28,2025-04-29,1,24132.65,130.6,126.35,256.95,156.72,107.0,True,False,-1697.8,1257.75,-440.05,09:30,2025-04-28 09:37:00+05:30,2025-04-28 15:15:00+05:30
2025-04-29,2025-04-29,0,24395.6,83.25,88.3,171.55,99.9,105.96,True,True,-1082.25,-1147.9,-2230.15,09:30,2025-04-29 09:31:00+05:30,2025-04-29 09:45:00+05:30
2025-04-30,2025-05-06,3,24354.75,30.65,35.2,65.85,39.23,45.06,True,True,-557.83,-640.64,-1198.47,09:40,2025-04-30 09:56:00+05:30,2025-04-30 09:48:00+05:30
2025-05-02,2025-05-06,2,24520.9,228.6,155.5,384.1,172.65,194.38,False,True,3636.75,-2526.88,1109.87,09:35,2025-05-02 15:15:00+05:30,2025-05-02 11:26:00+05:30
2025-05-05,2025-05-06,1,24445.25,134.15,144.45,278.6,83.8,117.1,False,False,3272.75,1777.75,5050.5,09:30,2025-05-05 13:40:00+05:30,2025-05-05 13:40:00+05:30
2025-05-06,2025-05-06,0,24436.55,79.0,93.15,172.15,94.8,82.0,True,False,-1027.0,724.75,-302.25,09:30,2025-05-06 09:52:00+05:30,2025-05-06 15:15:00+05:30
2025-05-07,2025-05-13,4,24383.15,81.4,99.75,181.15,105.82,75.8,True,False,-1587.3,1556.75,-30.55,09:45,2025-05-07 09:46:00+05:30,2025-05-07 15:15:00+05:30
2025-05-08,2025-05-13,3,24388.4,17.9,43.8,61.7,20.58,46.87,True,True,-174.52,-199.29,-373.82,09:40,2025-05-08 13:20:00+05:30,2025-05-08 14:55:00+05:30
