date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:41:00+05:30,324.0,54.5,52.8,22.45,22.3,107.3,9382.5,118.95,9263.55,Combined Decay Exit (60.2%),0,0.0,14799.0,False,1,25,6,150,250000.0,2
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,167.15,134.0,122.45,175.2,301.15,525.0,180.25,344.75,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,259263.55,2
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,128.0,132.2,100.8,99.0,260.2,9060.0,162.93,8897.07,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,259608.3,2
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,268505.37,2
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T13:36:00+05:30,259.0,53.6,44.85,13.55,63.79,98.45,3166.5,120.49,3046.01,Winner Booking (23.4%),0,0.0,14917.0,False,1,25,6,150,278881.28,2
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,10325.0,194.76,10130.24,Time Exit (15:15),3,0.0,14849.7,False,1,25,7,175,281927.29,2
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,162.95,122.65,153.0,160.45,285.6,-4873.75,192.97,-5066.72,Time Exit (15:15),2,0.0,14590.1,False,1,25,7,175,292057.53,2
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,144.78,75.6,239.75,3389.75,172.24,3217.51,Time Exit (15:15),1,0.0,14376.2,False,1,25,7,175,286990.81,2
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T14:45:00+05:30,328.0,62.4,58.75,24.85,18.05,121.15,13693.75,125.87,13567.88,Winner Booking (29.0%),0,0.0,14547.0,False,1,25,7,175,290208.32,2
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,5748.75,195.29,5553.46,Time Exit (15:15),3,0.0,14623.3999,False,1,25,7,175,303776.2,2
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,10440.0,204.22,10235.78,Time Exit (15:15),2,0.0,14313.1,False,1,25,8,200,309329.66,2
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T15:15:00+05:30,358.0,90.95,96.3,87.9,88.85,187.25,2100.0,164.49,1935.51,Time Exit (15:15),1,0.0,14506.0,False,1,25,8,200,319565.44,2
2021-04-22,2021-04-22T09:17:00+05:30,2021-04-22T13:47:00+05:30,270.0,78.7,59.0,23.3,83.6,137.7,6160.0,142.91,6017.09,Winner Booking (28.3%),0,0.0,14170.7999,False,1,25,8,200,321500.95,2
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,5100.0,228.71,4871.29,Time Exit (15:15),4,0.0,14342.0,False,1,25,8,200,327518.04,2
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,3340.0,200.45,3139.55,Time Exit (15:15),3,0.0,14433.3999,False,1,25,8,200,332389.33,2
2021-04-27,2021-04-27T09:17:00+05:30,2021-04-27T15:15:00+05:30,358.0,109.25,125.15,94.6,100.1,234.4,7940.0,178.64,7761.36,Time Exit (15:15),2,0.0,14546.1,False,1,25,8,200,335528.88,2
2021-04-28,2021-04-28T09:17:00+05:30,2021-04-28T15:15:00+05:30,358.0,70.15,94.55,92.2,71.4,164.7,220.0,157.12,62.88,Time Exit (15:15),1,0.0,14734.0,False,1,25,8,200,343290.24,2
2021-04-29,2021-04-29T09:17:00+05:30,2021-04-29T14:04:00+05:30,287.0,36.6,72.9,62.2,22.7,109.5,4920.0,132.96,4787.04,Winner Booking (29.8%),0,0.0,15019.7,False,1,25,8,200,343353.12,2
2021-04-30,2021-04-30T09:17:00+05:30,2021-04-30T15:15:00+05:30,358.0,195.5,175.95,198.4,150.15,371.45,4580.0,233.15,4346.85,Time Exit (15:15),4,0.0,14780.5,False,1,25,8,200,348140.16,2
2021-05-03,2021-05-03T09:17:00+05:30,2021-05-03T15:15:00+05:30,358.0,152.85,158.4,153.2,120.05,311.25,8550.0,222.42,8327.58,Time Exit (15:15),3,0.0,14440.6,False,1,25,9,225,352487.01,2
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T15:15:00+05:30,358.0,125.75,107.6,112.85,105.05,233.35,3476.25,192.3,3283.95,Time Exit (15:15),2,0.0,14716.6,False,1,25,9,225,360814.59,2
