date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:41:00+05:30,324.0,54.5,52.8,22.45,22.3,107.3,9382.5,118.95,9263.55,Combined Decay Exit (60.2%),0,0.0,14799.0,False,1,25,6,150,250000.0,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,259263.55,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T14:28:00+05:30,311.0,53.6,44.85,20.65,12.75,98.45,9757.5,116.17,9641.33,Winner Booking (26.2%),0,0.0,14917.0,False,1,25,6,150,269639.46,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,279280.79,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T12:07:00+05:30,170.0,162.95,122.65,160.0,136.5,285.6,-1907.5,191.01,-2098.51,Spot Move Exit (289pts > 286pts),2,0.0,14590.1,False,1,25,7,175,287950.36,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,77.35,75.6,239.75,15190.0,164.49,15025.51,Time Exit (15:15),1,0.0,14376.2,False,1,25,7,175,285851.85,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T10:20:00+05:30,63.0,62.4,58.75,67.2,52.8,121.15,201.25,134.73,66.52,Spot Move Exit (123pts > 121pts),0,0.0,14547.0,False,1,25,7,175,300877.36,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,5748.75,195.29,5553.46,Time Exit (15:15),3,0.0,14623.3999,False,1,25,7,175,300943.88,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,9135.0,190.48,8944.52,Time Exit (15:15),2,0.0,14313.1,False,1,25,7,175,306497.34,0.0,0.0,0.0,0.0,0.0,2,1
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T14:26:00+05:30,309.0,90.95,96.3,98.25,94.65,187.25,-1130.0,166.61,-1296.61,Spot Move Exit (198pts > 187pts),1,0.0,14506.0,False,1,25,8,200,315441.86,0.0,0.0,0.0,0.0,0.0,2,1
