date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T10:57:00+05:30,100.0,50.5,48.8,59.0,51.8,99.3,-1725.0,136.99,-1861.99,Spot Move Exit (100pts > 99pts),0,0.0,14799.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.038092298486767
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,102.0,96.45,84.7,59.6,198.45,8122.5,171.92,7950.58,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,25.838142383590203
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T14:28:00+05:30,311.0,49.6,40.85,24.65,16.75,90.45,7357.5,127.33,7230.17,Winner Booking (28.8%),0,0.0,14917.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.0656853929127
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,154.3,158.55,130.2,139.65,312.85,6450.0,220.77,6229.23,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.0049840608585
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T12:07:00+05:30,170.0,158.95,118.65,164.0,140.5,277.6,-4035.0,212.94,-4247.94,Spot Move Exit (289pts > 278pts),2,0.0,14590.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,30.879788408639584
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,106.6,125.15,81.35,79.6,231.75,10620.0,184.17,10435.83,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,32.18768209976465
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T09:55:00+05:30,38.0,58.4,54.75,60.45,61.8,113.15,-1365.0,142.53,-1507.53,Spot Move Exit (114pts > 113pts),0,0.0,14547.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,27.582311165807365
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,162.1,143.35,152.5,136.1,305.45,2527.5,220.26,2307.24,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.665369984888635
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,165.05,132.65,129.1,132.4,297.70000000000005,5430.0,215.11,5214.89,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,30.41361339911102
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T14:24:00+05:30,307.0,86.95,92.3,87.3,109.85,179.25,-2685.0,171.0,-2856.0,Spot Move Exit (180pts > 179pts),1,0.0,14506.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.498035430882904
