date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events,scaled_lots
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:41:00+05:30,324.0,54.5,52.8,22.45,22.3,107.3,9382.5,118.95,9263.55,Combined Decay Exit (60.2%),0,0.0,14799.0,False,1,25,6,150,250000,2,1
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,167.15,134.0,122.45,175.2,301.15,525.0,180.25,344.75,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,250000,2,1
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,128.0,132.2,100.8,99.0,260.2,9060.0,162.93,8897.07,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,250000,2,1
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,2,1
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T13:36:00+05:30,259.0,53.6,44.85,13.55,63.79,98.45,3166.5,120.49,3046.01,Winner Booking (23.4%),0,0.0,14917.0,False,1,25,6,150,250000,2,1
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,2,1
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,162.95,122.65,153.0,160.45,285.6,-4177.5,178.89,-4356.39,Time Exit (15:15),2,0.0,14590.1,False,1,25,6,150,250000,2,1
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,144.78,75.6,239.75,2905.5,161.12,2744.38,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,2,1
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T14:45:00+05:30,328.0,62.4,58.75,24.85,18.05,121.15,11737.5,121.37,11616.13,Winner Booking (29.0%),0,0.0,14547.0,False,1,25,6,150,250000,2,1
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,2,1
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,7830.0,176.76,7653.24,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,2,1
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T15:15:00+05:30,358.0,90.95,96.3,87.9,88.85,187.25,1575.0,146.96,1428.04,Time Exit (15:15),1,0.0,14506.0,False,1,25,6,150,250000,2,1
