date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:39:00+05:30,322.0,56.5,54.8,23.85,18.25,111.3,10380.0,119.45,10260.55,Combined Decay Exit (60.4%),0,0.0,14799.0,False,1,25,6,150,250000.0,2
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,169.15,136.0,120.45,163.75,305.15,3142.5,179.68,2962.82,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,260260.55,2
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,130.0,134.2,98.8,97.0,264.2,10260.0,163.28,10096.72,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,263223.37,2
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,108.0,102.45,78.7,53.6,210.45,11722.5,146.94,11575.56,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,273320.09,2
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T13:36:00+05:30,259.0,55.6,46.85,11.55,58.6,102.45,5652.5,124.9,5527.6,Winner Booking (22.6%),0,0.0,14917.0,False,1,25,7,175,284895.65,2
2021-04-08,2021-04-08T14:21:00+05:30,2021-04-08T14:34:00+05:30,13.0,14.7,27.7,34.75,27.5,42.4,-3473.75,110.84,-3584.59,Fixed SL hit (PE),0,0.0,14938.3999,True,2,25,7,175,290423.25,2
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,160.3,164.55,124.2,133.65,324.85,11725.0,195.18,11529.82,Time Exit (15:15),3,0.0,14849.7,False,1,25,7,175,286838.66,2
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,164.95,124.65,151.0,159.55,289.6,-3666.25,193.51,-3859.76,Time Exit (15:15),2,0.0,14590.1,False,1,25,7,175,298368.48,2
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,112.6,131.15,130.1,73.6,243.75,7008.75,171.2,6837.55,Time Exit (15:15),1,0.0,14376.2,False,1,25,7,175,294508.72,2
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T14:45:00+05:30,328.0,64.4,60.75,66.7,16.05,125.15,7420.0,131.32,7288.68,Winner Booking (28.1%),0,0.0,14547.0,False,1,25,7,175,301346.27,2
