date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T09:49:00+05:30,32.0,54.5,52.8,69.12,67.0,107.3,-4323.0,127.95,-4450.95,Fixed SL hit (PE),0,0.0,14799.0,False,1,25,6,150,250000,2
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,167.15,134.0,122.45,168.5,301.15,1530.0,179.6,1350.4,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,250000,2
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,128.0,132.2,100.8,99.0,260.2,9060.0,162.93,8897.07,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,250000,2
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,2
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T13:36:00+05:30,259.0,53.6,44.85,13.55,60.6,98.45,3645.0,120.18,3524.82,Winner Booking (23.4%),0,0.0,14917.0,False,1,25,6,150,250000,2
2021-04-08,2021-04-08T14:21:00+05:30,2021-04-08T14:34:00+05:30,13.0,12.7,25.7,16.880000000000003,33.12,38.4,-1740.0,106.52,-1846.52,Fixed SL hit (PE),0,0.0,14938.3999,True,2,25,6,150,250000,2
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,2
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,162.95,122.65,153.0,154.31,285.6,-3256.5,178.29,-3434.79,Time Exit (15:15),2,0.0,14590.1,False,1,25,6,150,250000,2
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,139.25,75.6,239.75,3735.0,160.57,3574.43,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,2
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T09:36:00+05:30,19.0,62.4,58.75,79.0,74.44,121.15,-4843.5,132.25,-4975.75,Fixed SL hit (PE),0,0.0,14547.0,False,1,25,6,150,250000,2
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,2
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,171.81,305.70000000000005,1318.5,181.03,1137.47,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,2
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T15:02:00+05:30,345.0,90.95,96.3,114.69,121.38,187.25,-7323.0,152.8,-7475.8,Fixed SL hit (PE),1,0.0,14506.0,False,1,25,6,150,250000,2
2021-04-22,2021-04-22T09:17:00+05:30,2021-04-22T13:47:00+05:30,270.0,78.7,59.0,23.3,75.1,137.7,5895.0,129.94,5765.06,Winner Booking (28.3%),0,0.0,14170.7999,False,1,25,6,150,250000,2
2021-04-22,2021-04-22T14:32:00+05:30,2021-04-22T15:00:00+05:30,28.0,16.3,33.1,24.1,9.0,49.400000000000006,2445.0,106.93,2338.07,Winner Booking (24.2%),0,0.0,14384.3999,True,2,25,6,150,250000,2
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,3825.0,195.12,3629.88,Time Exit (15:15),4,0.0,14342.0,False,1,25,6,150,250000,2
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,2505.0,173.95,2331.05,Time Exit (15:15),3,0.0,14433.3999,False,1,25,6,150,250000,2
2021-04-27,2021-04-27T09:17:00+05:30,2021-04-27T15:15:00+05:30,358.0,109.25,125.15,94.6,100.1,234.4,5955.0,157.59,5797.41,Time Exit (15:15),2,0.0,14546.1,False,1,25,6,150,250000,2
2021-04-28,2021-04-28T09:17:00+05:30,2021-04-28T15:15:00+05:30,358.0,70.15,94.55,88.69,71.4,164.7,691.5,141.08,550.42,Time Exit (15:15),1,0.0,14734.0,False,1,25,6,150,250000,2
2021-04-29,2021-04-29T09:17:00+05:30,2021-04-29T14:04:00+05:30,287.0,36.6,72.9,62.2,22.7,109.5,3690.0,123.33,3566.67,Winner Booking (29.8%),0,0.0,15019.7,False,1,25,6,150,250000,2
2021-04-29,2021-04-29T14:49:00+05:30,2021-04-29T14:55:00+05:30,6.0,23.85,12.7,30.81,18.9,36.55,-1974.0,106.15,-2080.15,Breakeven SL hit (PE),0,0.0,14916.6,True,2,25,6,150,250000,2
2021-04-30,2021-04-30T09:17:00+05:30,2021-04-30T15:15:00+05:30,358.0,195.5,175.95,198.4,150.15,371.45,3435.0,198.46,3236.54,Time Exit (15:15),4,0.0,14780.5,False,1,25,6,150,250000,2
2021-05-03,2021-05-03T09:17:00+05:30,2021-05-03T15:15:00+05:30,358.0,152.85,158.4,153.2,120.05,311.25,5700.0,179.75,5520.25,Time Exit (15:15),3,0.0,14440.6,False,1,25,6,150,250000,2
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T15:15:00+05:30,358.0,125.75,107.6,112.85,105.05,233.35,2317.5,159.67,2157.83,Time Exit (15:15),2,0.0,14716.6,False,1,25,6,150,250000,2
2021-05-05,2021-05-05T09:17:00+05:30,2021-05-05T10:04:00+05:30,47.0,106.25,86.9,133.81,115.0,193.15,-8349.0,155.17,-8504.17,Fixed SL hit (CE),1,0.0,14577.7,False,1,25,6,150,250000,2
2021-05-06,2021-05-06T09:17:00+05:30,2021-05-06T14:16:00+05:30,299.0,65.0,41.45,19.7,52.81,106.45,5091.0,121.52,4969.48,Winner Booking (28.8%),0,0.0,14674.1,False,1,25,6,150,250000,2
2021-05-06,2021-05-06T15:01:00+05:30,2021-05-06T15:02:00+05:30,1.0,3.7,15.2,14.6,4.5,18.9,-30.0,99.82,-129.82,Winner Booking (23.0%),0,0.0,14691.2999,True,2,25,6,150,250000,2
2021-05-07,2021-05-07T09:17:00+05:30,2021-05-07T15:15:00+05:30,358.0,123.05,144.0,154.81,115.9,267.05,-549.0,171.19,-720.19,Time Exit (15:15),3,0.0,14833.6,False,1,25,6,150,250000,2
2021-05-10,2021-05-10T09:17:00+05:30,2021-05-10T15:15:00+05:30,358.0,91.7,115.45,119.8,95.4,207.15,-1207.5,154.49,-1361.99,Time Exit (15:15),2,0.0,14922.3999,False,1,25,6,150,250000,2
2021-05-11,2021-05-11T09:17:00+05:30,2021-05-11T15:15:00+05:30,358.0,79.55,79.65,64.5,62.85,159.2,4777.5,136.82,4640.68,Time Exit (15:15),1,0.0,14801.7,False,1,25,6,150,250000,2
2021-05-12,2021-05-12T09:17:00+05:30,2021-05-12T09:25:00+05:30,8.0,42.9,46.2,59.3,60.05,89.1,-4537.5,122.87,-4660.37,Fixed SL hit (CE),0,0.0,14798.3999,False,1,25,6,150,250000,2
2021-05-14,2021-05-14T09:17:00+05:30,2021-05-14T15:15:00+05:30,358.0,153.6,123.9,123.0,155.88,277.5,-207.0,173.96,-380.96,Time Exit (15:15),4,0.0,14729.3999,False,1,25,6,150,250000,2
2021-05-17,2021-05-17T09:17:00+05:30,2021-05-17T15:15:00+05:30,358.0,104.4,112.4,111.75,88.05,216.8,2550.0,154.78,2395.22,Time Exit (15:15),3,0.0,14743.3999,False,1,25,6,150,250000,2
2021-05-18,2021-05-18T09:17:00+05:30,2021-05-18T15:15:00+05:30,358.0,87.75,84.75,92.0,73.3,172.5,1080.0,143.06,936.94,Time Exit (15:15),2,0.0,15095.7,False,1,25,6,150,250000,2
2021-05-19,2021-05-19T09:17:00+05:30,2021-05-19T15:15:00+05:30,358.0,79.0,64.85,58.7,85.0,143.85,22.5,135.55,-113.05,Time Exit (15:15),1,0.0,15063.3999,False,1,25,6,150,250000,2
2021-05-20,2021-05-20T09:17:00+05:30,2021-05-20T09:26:00+05:30,9.0,46.0,39.75,58.5,50.69,85.75,-3516.0,121.25,-3637.25,Fixed SL hit (CE),0,0.0,15060.3999,False,1,25,6,150,250000,2
2021-05-21,2021-05-21T09:17:00+05:30,2021-05-21T15:15:00+05:30,358.0,131.75,117.4,121.5,111.0,249.15,2497.5,164.07,2333.43,Time Exit (15:15),4,0.0,15000.8999,False,1,25,6,150,250000,2
2021-05-24,2021-05-24T09:17:00+05:30,2021-05-24T15:15:00+05:30,358.0,114.4,103.75,95.6,94.4,218.15,4222.5,154.08,4068.42,Time Exit (15:15),3,0.0,15213.1,False,1,25,6,150,250000,2
2021-05-25,2021-05-25T09:17:00+05:30,2021-05-25T15:15:00+05:30,358.0,70.9,86.25,94.4,68.8,157.15,-907.5,139.98,-1047.48,Time Exit (15:15),2,0.0,15276.3999,False,1,25,6,150,250000,2
2021-05-26,2021-05-26T09:17:00+05:30,2021-05-26T15:15:00+05:30,358.0,55.0,68.85,78.05,50.3,123.85,-675.0,130.3,-805.3,Time Exit (15:15),1,0.0,15234.7,False,1,25,6,150,250000,2
2021-05-27,2021-05-27T09:17:00+05:30,2021-05-27T14:32:00+05:30,315.0,45.8,38.95,13.35,49.69,84.75,3256.5,116.51,3139.99,Winner Booking (27.0%),0,0.0,15315.2999,False,1,25,6,150,250000,2
2021-05-28,2021-05-28T09:17:00+05:30,2021-05-28T15:15:00+05:30,358.0,107.9,130.7,98.95,119.85,238.6,2475.0,149.69,2325.31,Time Exit (15:15),4,0.0,15439.7999,False,1,25,5,125,250000,2
