test,trades,net_pnl,delta_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,calmar_ratio
BASELINE,1101,2684686.46,0,85.1952770208901,9.38,12.84,-9515.75,282.13
min_premium_100,991,2382058.04,-302628.4199999999,85.57013118062564,9.07,12.7,-9515.75,250.33
min_premium_125,879,2139865.38,-544821.0800000001,86.68941979522185,9.51,12.91,-9515.75,224.88
min_premium_150,773,1870580.5,-814105.96,86.41655886157827,8.94,12.69,-9515.75,196.58
min_premium_175,650,1591566.28,-1093120.18,85.84615384615385,8.47,12.54,-9515.75,167.26
vix_min_12,949,2447993.02,-236693.43999999994,85.03688092729189,9.16,12.96,-9515.75,257.26
iv_entry_8,1001,2497694.11,-186992.3500000001,86.01398601398601,9.92,13.0,-9515.75,262.48
iv_entry_10,920,2382201.5,-302484.95999999996,86.30434782608695,10.56,13.38,-9726.28,244.92
iv_entry_12,798,2203925.93,-480760.5299999998,86.34085213032581,10.73,13.76,-6718.72,328.03
iv_spike_15,1101,895630.18,-1789056.2799999998,37.60217983651226,2.23,4.32,-21169.2,42.31
iv_spike_20,1101,1204648.74,-1480037.72,45.41326067211626,2.82,5.67,-20880.25,57.69
iv_spike_25,1101,1450650.0,-1234036.46,52.497729336966394,3.33,6.73,-12728.19,113.97
