date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:41:00+05:30,324.0,54.5,52.8,22.45,22.3,107.3,9382.5,118.95,9263.55,Combined Decay Exit (60.2%),0,0.0,14799.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,24.868674317555374
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,26.922217965988164
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T14:28:00+05:30,311.0,53.6,44.85,20.65,12.75,98.45,9757.5,116.17,9641.33,Winner Booking (26.2%),0,0.0,14917.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.91095241051238
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.624368830976376
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T12:07:00+05:30,170.0,162.95,122.65,160.0,136.5,285.6,-1635.0,177.22,-1812.22,Spot Move Exit (289pts > 286pts),2,0.0,14590.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,31.651208876215893
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,77.35,75.6,239.75,13020.0,154.48,12865.52,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,33.29659189703879
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T09:37:00+05:30,20.0,62.4,58.75,74.55,49.95,121.15,-502.5,129.4,-631.9,IV Spike Exit (28.2%),0,0.0,14547.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,29.44459254047783
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.297307867113304
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,7830.0,176.76,7653.24,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,31.20163363573593
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T09:37:00+05:30,20.0,90.95,96.3,109.8,90.2,187.25,-1912.5,149.24,-2061.74,IV Spike Exit (35.3%),1,0.0,14506.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.59684032577296
2021-04-22,2021-04-22T09:17:00+05:30,2021-04-22T11:46:00+05:30,149.0,78.7,59.0,55.6,57.2,137.7,3735.0,131.36,3603.64,Spot Move Exit (140pts > 138pts),0,0.0,14170.7999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,32.09075504286287
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,3825.0,195.12,3629.88,Time Exit (15:15),4,0.0,14342.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.607439154900263
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,2505.0,173.95,2331.05,Time Exit (15:15),3,0.0,14433.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.897299397596818
