test,trades,net_pnl,delta_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,calmar_ratio
PRODUCTION,1101,2684686.46,480760.5299999998,85.1952770208901,9.38,12.84,-9515.75,282.13
BASELINE_iv12,798,2203925.93,0,86.34085213032581,10.73,13.76,-6718.72,328.03
data_iv_12,719,2112501.44,-91424.49000000022,86.78720445062586,11.24,14.29,-6718.72,314.42
data_iv_15,555,1815109.39,-388816.54000000027,86.84684684684684,12.51,15.03,-6298.48,288.18
skew_max_5,718,1852935.16,-350990.77000000025,85.79387186629526,9.7,13.53,-7061.34,262.41
skew_max_8,782,2099172.48,-104753.45000000019,86.06138107416879,10.26,13.73,-7061.34,297.28
skew_max_10,793,2169628.24,-34297.689999999944,86.2547288776797,10.57,13.76,-6718.72,322.92
oi_min_500k,790,2182474.81,-21451.12000000011,86.32911392405063,10.71,13.76,-6718.72,324.83
oi_min_1m,750,2032298.7,-171627.2300000002,86.26666666666667,10.33,13.66,-9396.14,216.29
oi_min_2m,650,1755642.56,-448283.3700000001,85.84615384615385,10.87,13.89,-8302.32,211.46
vol_min_500,798,2203925.93,0.0,86.34085213032581,10.73,13.76,-6718.72,328.03
vol_min_1000,798,2203925.93,0.0,86.34085213032581,10.73,13.76,-6718.72,328.03
pcr_0.7_1.3,248,699016.7,-1504909.2300000002,87.5,12.4,15.73,-6436.08,108.61
pcr_0.8_1.2,165,480145.38,-1723780.5500000003,87.87878787878788,12.42,15.86,-6759.53,71.03
comb_skew_oi,774,2077721.36,-126204.57000000007,86.04651162790698,10.24,13.73,-8127.71,255.63
comb_skew_pcr,246,688575.76,-1515350.1700000002,87.39837398373984,12.23,15.63,-6436.08,106.99
comb_all,244,678475.84,-1525450.0900000003,87.29508196721312,12.07,15.61,-6436.08,105.42
