date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T14:41:00+05:30,324.0,54.5,52.8,22.45,22.3,107.3,9382.5,118.95,9263.55,Combined Decay Exit (60.2%),0,0.0,14799.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,24.868674317555374
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,26.922217965988164
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T14:28:00+05:30,311.0,53.6,44.85,20.65,12.75,98.45,9757.5,116.17,9641.33,Winner Booking (26.2%),0,0.0,14917.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.91095241051238
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,77.35,75.6,239.75,13020.0,154.48,12865.52,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,33.29659189703879
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T10:20:00+05:30,63.0,62.4,58.75,67.2,52.8,121.15,172.5,128.96,43.54,Spot Move Exit (123pts > 121pts),0,0.0,14547.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,29.44459254047783
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.297307867113304
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,7830.0,176.76,7653.24,Time Exit (15:15),2,0.0,14313.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,31.20163363573593
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T14:26:00+05:30,309.0,90.95,96.3,98.25,94.65,187.25,-847.5,148.55,-996.05,Spot Move Exit (198pts > 187pts),1,0.0,14506.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.59684032577296
2021-04-28,2021-04-28T09:17:00+05:30,2021-04-28T15:15:00+05:30,358.0,70.15,94.55,73.2,71.4,164.7,3015.0,139.56,2875.44,Time Exit (15:15),1,0.0,14734.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,20.54191036082663
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T14:55:00+05:30,338.0,125.75,107.6,107.3,115.15,233.35,1635.0,160.12,1474.88,Spot Move Exit (236pts > 233pts),2,0.0,14716.6,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.671031109914615
2021-05-06,2021-05-06T09:17:00+05:30,2021-05-06T15:01:00+05:30,344.0,65.0,41.45,25.4,6.55,106.45,11175.0,117.53,11057.47,Winner Booking (13.4%),0,0.0,14674.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.697042034386378
2021-05-11,2021-05-11T09:17:00+05:30,2021-05-11T15:15:00+05:30,358.0,79.55,79.65,64.5,62.85,159.2,4777.5,136.82,4640.68,Time Exit (15:15),1,0.0,14801.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,20.63942429436773
2021-05-12,2021-05-12T09:17:00+05:30,2021-05-12T11:18:00+05:30,121.0,42.9,46.2,41.55,40.5,89.1,1057.5,119.2,938.3,Spot Move Exit (97pts > 89pts),0,0.0,14798.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.697724438278787
