date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,26.922217965988164
2021-05-05,2021-05-05T09:17:00+05:30,2021-05-05T15:15:00+05:30,358.0,106.25,86.9,86.4,60.6,193.15,6922.5,145.14,6777.36,Time Exit (15:15),1,0.0,14577.7,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,31.44803629567153
2021-05-14,2021-05-14T09:17:00+05:30,2021-05-14T15:15:00+05:30,358.0,153.6,123.9,123.0,132.45,277.5,3307.5,171.65,3135.85,Time Exit (15:15),4,0.0,14729.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.10629794565196
2021-05-19,2021-05-19T09:17:00+05:30,2021-05-19T15:15:00+05:30,358.0,79.0,64.85,58.7,65.15,143.85,3000.0,133.6,2866.4,Time Exit (15:15),1,0.0,15063.3999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.50840159072865
2021-05-27,2021-05-27T09:17:00+05:30,2021-05-27T14:44:00+05:30,327.0,45.8,38.95,13.35,12.0,84.75,8910.0,112.8,8797.2,Winner Booking (28.2%),0,0.0,15315.2999,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.31367632343457
2021-05-31,2021-05-31T09:17:00+05:30,2021-05-31T15:15:00+05:30,358.0,107.55,93.05,66.75,111.05,200.6,3420.0,149.57,3270.43,Time Exit (15:15),3,0.0,15419.1,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.603030575826736
2021-06-02,2021-06-02T09:17:00+05:30,2021-06-02T15:15:00+05:30,358.0,66.1,63.650000000000006,39.25,55.05,129.75,4431.25,122.44,4308.81,Time Exit (15:15),1,0.0,15557.5,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.395733471513019
2021-06-16,2021-06-16T09:17:00+05:30,2021-06-16T15:15:00+05:30,358.0,53.3,66.4,73.65,40.35,119.7,712.5,122.48,590.02,Time Exit (15:15),1,0.0,15840.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.080453557155739
2021-06-29,2021-06-29T09:17:00+05:30,2021-06-29T15:15:00+05:30,358.0,82.4,75.35,66.7,61.1,157.75,3743.75,129.56,3614.19,Time Exit (15:15),2,0.0,15808.7999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.109940135553602
2021-08-05,2021-08-05T09:17:00+05:30,2021-08-05T10:43:00+05:30,86.0,49.25,26.85,20.3,46.15,76.1,1206.25,111.77,1094.48,Fixed SL hit (PE),0,12.95,16279.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,24.32539252466464
2021-09-08,2021-09-08T09:17:00+05:30,2021-09-08T15:15:00+05:30,358.0,67.5,64.5,48.9,44.95,132.0,4768.75,122.75,4646.0,Time Exit (15:15),1,14.85,17350.7999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.869804061858
2021-09-09,2021-09-09T09:17:00+05:30,2021-09-09T14:19:00+05:30,302.0,31.299999999999997,41.9,8.85,17.4,73.19999999999999,5868.75,108.02,5760.73,Winner Booking (25.1%),0,14.05,17346.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.636018495135925
2021-09-21,2021-09-21T09:17:00+05:30,2021-09-21T15:15:00+05:30,358.0,113.2,90.8,81.65,76.95,204.0,5675.0,139.34,5535.66,Time Exit (15:15),2,17.14,17470.2999,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.773084000342468
2021-09-28,2021-09-28T09:17:00+05:30,2021-09-28T12:23:00+05:30,186.0,116.45,77.05,98.15,115.15,193.5,-2475.0,142.18,-2617.18,Spot Move Exit (196pts > 194pts),2,18.1,17882.2,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.98504011075278
2021-09-29,2021-09-29T09:17:00+05:30,2021-09-29T15:15:00+05:30,358.0,82.35,89.45,63.55,66.45,171.8,5225.0,131.94,5093.06,Time Exit (15:15),1,19.24,17632.4,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,20.014905392636614
2021-09-30,2021-09-30T09:17:00+05:30,2021-09-30T14:29:00+05:30,312.0,49.25,52.9,26.05,34.9,102.15,5150.0,115.39,5034.61,Spot Move Exit (105pts > 102pts),0,18.92,17705.7,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,17.415293322383757
2021-10-12,2021-10-12T09:17:00+05:30,2021-10-12T15:15:00+05:30,358.0,87.0,98.3,76.65,80.95,185.3,3462.5,136.32,3326.18,Time Exit (15:15),2,16.24,17958.9492,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.157891331704668
2021-11-18,2021-11-18T09:17:00+05:30,2021-11-18T10:07:00+05:30,50.0,58.8,38.1,39.55,54.5,96.9,356.25,117.28,238.97,Spot Move Exit (98pts > 97pts),0,14.48,17930.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,25.516411938934457
2021-11-24,2021-11-24T09:17:00+05:30,2021-11-24T15:15:00+05:30,358.0,98.95,70.7,63.95,57.35,169.65,6043.75,130.9,5912.85,Time Exit (15:15),1,15.94,17522.0996,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.313438315361502
2021-12-10,2021-12-10T09:17:00+05:30,2021-12-10T15:15:00+05:30,358.0,132.6,150.95,123.85,128.5,283.54999999999995,3900.0,159.47,3740.53,Time Exit (15:15),4,16.81,17476.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.382038175704887
2021-12-17,2021-12-17T09:17:00+05:30,2021-12-17T15:15:00+05:30,358.0,126.75,152.1,146.75,141.9,278.85,-1225.0,161.72,-1386.72,Time Exit (15:15),4,15.83,17218.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.466421774746577
2021-12-24,2021-12-24T09:17:00+05:30,2021-12-24T15:15:00+05:30,358.0,134.05,142.4,134.85,130.8,276.45000000000005,1350.0,159.46,1190.54,Time Exit (15:15),4,16.04,17082.6992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.5934367165594
2021-12-29,2021-12-29T09:17:00+05:30,2021-12-29T15:15:00+05:30,358.0,75.55,76.8,76.75,45.9,152.35,3712.5,128.31,3584.19,Time Exit (15:15),1,16.64,17193.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,17.773358792017945
2022-02-07,2022-02-07T09:17:00+05:30,2022-02-07T13:34:00+05:30,257.0,133.1,139.5,132.4,141.95,272.6,-218.75,159.56,-378.31,Spot Move Exit (274pts > 273pts),3,19.63,17509.3496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.928233131127845
2022-02-18,2022-02-18T09:17:00+05:30,2022-02-18T15:15:00+05:30,358.0,197.8,245.15,182.05,203.95,442.95000000000005,7118.75,195.38,6923.37,Time Exit (15:15),4,22.98,17252.6992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.621907861544027
2022-03-21,2022-03-21T09:17:00+05:30,2022-03-21T15:15:00+05:30,358.0,199.9,176.85,186.2,190.4,376.75,18.75,184.25,-165.5,Time Exit (15:15),3,23.64,17313.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,24.69620382155965
2022-03-28,2022-03-28T09:17:00+05:30,2022-03-28T15:15:00+05:30,358.0,172.85,152.9,172.75,104.2,325.75,6100.0,168.09,5931.91,Time Exit (15:15),3,24.06,17130.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.622947090372612
2022-04-01,2022-04-01T09:17:00+05:30,2022-04-01T15:15:00+05:30,358.0,174.1,168.8,152.3,126.8,342.9,7975.0,170.96,7804.04,Time Exit (15:15),4,20.73,17452.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.64634275369522
2022-04-08,2022-04-08T09:17:00+05:30,2022-04-08T15:15:00+05:30,358.0,155.45,146.95,140.7,113.35,302.4,6043.75,162.56,5881.19,Time Exit (15:15),3,19.1,17701.0996,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.208622608518567
2022-04-11,2022-04-11T09:17:00+05:30,2022-04-11T15:15:00+05:30,358.0,117.3,114.0,89.6,99.9,231.3,5225.0,146.14,5078.86,Time Exit (15:15),2,18.69,17745.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.20174815304456
2022-06-01,2022-06-01T09:17:00+05:30,2022-06-01T15:15:00+05:30,358.0,111.75,97.25,64.35,96.85,209.0,5975.0,140.32,5834.68,Time Exit (15:15),1,19.84,16625.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,29.10639161942005
2022-06-08,2022-06-08T09:17:00+05:30,2022-06-08T15:15:00+05:30,358.0,118.55,90.75,69.95,64.65,209.3,9337.5,138.2,9199.3,Time Exit (15:15),1,20.13,16420.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,25.667224108299656
